"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1465","https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts","Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts","Medium","41.4%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"2876","https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph","Count Visited Nodes in a Directed Graph","Hard","30.8%","100.0%","Trees; Graphs","DFS / BFS; BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"2615","https://leetcode.com/problems/sum-of-distances","Sum of Distances","Medium","50.4%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3012","https://leetcode.com/problems/minimize-length-of-array-using-operations","Minimize Length of Array Using Operations","Medium","35.8%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3251","https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii","Find the Count of Monotonic Pairs II","Hard","24.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"853","https://leetcode.com/problems/car-fleet","Car Fleet","Medium","55.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2044","https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets","Count Number of Maximum Bitwise-OR Subsets","Medium","89.5%","62.5%","Arrays; Backtracking","Sorting / Prefix / Scan; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"924","https://leetcode.com/problems/minimize-malware-spread","Minimize Malware Spread","Hard","43.2%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"898","https://leetcode.com/problems/bitwise-ors-of-subarrays","Bitwise ORs of Subarrays","Medium","56.9%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"88","https://leetcode.com/problems/merge-sorted-array","Merge Sorted Array","Easy","54.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"215","https://leetcode.com/problems/kth-largest-element-in-an-array","Kth Largest Element in an Array","Medium","68.9%","75.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
"647","https://leetcode.com/problems/palindromic-substrings","Palindromic Substrings","Medium","72.8%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
