"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"3143","https://leetcode.com/problems/maximum-points-inside-the-square","Maximum Points Inside the Square","Medium","39.7%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2999","https://leetcode.com/problems/count-the-number-of-powerful-integers","Count the Number of Powerful Integers","Hard","46.2%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3012","https://leetcode.com/problems/minimize-length-of-array-using-operations","Minimize Length of Array Using Operations","Medium","35.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3051","https://leetcode.com/problems/find-candidates-for-data-scientist-position","Find Candidates for Data Scientist Position","Easy","75.3%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3052","https://leetcode.com/problems/maximize-items","Maximize Items","Hard","74.8%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"2448","https://leetcode.com/problems/minimum-cost-to-make-array-equal","Minimum Cost to Make Array Equal","Hard","46.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"31","https://leetcode.com/problems/next-permutation","Next Permutation","Medium","45.3%","62.5%","Backtracking","Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"810","https://leetcode.com/problems/chalkboard-xor-game","Chalkboard XOR Game","Hard","66.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"45","https://leetcode.com/problems/jump-game-ii","Jump Game II","Medium","42.9%","62.5%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"55","https://leetcode.com/problems/jump-game","Jump Game","Medium","40.9%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"526","https://leetcode.com/problems/beautiful-arrangement","Beautiful Arrangement","Medium","64.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"2594","https://leetcode.com/problems/minimum-time-to-repair-cars","Minimum Time to Repair Cars","Medium","59.5%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"152","https://leetcode.com/problems/maximum-product-subarray","Maximum Product Subarray","Medium","36.4%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"72","https://leetcode.com/problems/edit-distance","Edit Distance","Medium","60.6%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"205","https://leetcode.com/problems/isomorphic-strings","Isomorphic Strings","Easy","48.4%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"11","https://leetcode.com/problems/container-with-most-water","Container With Most Water","Medium","60.0%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"875","https://leetcode.com/problems/koko-eating-bananas","Koko Eating Bananas","Medium","50.0%","62.5%","Binary Search","Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
