"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","75.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"2","https://leetcode.com/problems/add-two-numbers","Add Two Numbers","Medium","48.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"10","https://leetcode.com/problems/regular-expression-matching","Regular Expression Matching","Hard","31.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","75.0%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","High","Must revise; common company/OA pattern."
"1058","https://leetcode.com/problems/minimize-rounding-error-to-meet-target","Minimize Rounding Error to Meet Target","Medium","45.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"39","https://leetcode.com/problems/combination-sum","Combination Sum","Medium","76.5%","75.0%","Arrays; Backtracking","Sorting / Prefix / Scan; Backtracking","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","75.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"1017","https://leetcode.com/problems/convert-to-base-2","Convert to Base -2","Medium","61.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"76","https://leetcode.com/problems/minimum-window-substring","Minimum Window Substring","Hard","47.5%","62.5%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1166","https://leetcode.com/problems/design-file-system","Design File System","Medium","65.1%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"108","https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree","Convert Sorted Array to Binary Search Tree","Easy","75.6%","75.0%","Arrays; Trees; Binary Search","Sorting / Prefix / Scan; DFS / BFS; Binary Search","High","Must revise; common company/OA pattern."
"2043","https://leetcode.com/problems/simple-bank-system","Simple Bank System","Medium","69.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"136","https://leetcode.com/problems/single-number","Single Number","Easy","77.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"160","https://leetcode.com/problems/intersection-of-two-linked-lists","Intersection of Two Linked Lists","Easy","63.7%","75.0%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"1257","https://leetcode.com/problems/smallest-common-region","Smallest Common Region","Medium","68.3%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"190","https://leetcode.com/problems/reverse-bits","Reverse Bits","Easy","68.4%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"198","https://leetcode.com/problems/house-robber","House Robber","Medium","53.2%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"202","https://leetcode.com/problems/happy-number","Happy Number","Easy","59.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"212","https://leetcode.com/problems/word-search-ii","Word Search II","Hard","38.5%","75.0%","Strings; Binary Search","Hashing / Sliding Window; Binary Search","High","Must revise; common company/OA pattern."
"217","https://leetcode.com/problems/contains-duplicate","Contains Duplicate","Easy","64.4%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"219","https://leetcode.com/problems/contains-duplicate-ii","Contains Duplicate II","Easy","51.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"220","https://leetcode.com/problems/contains-duplicate-iii","Contains Duplicate III","Hard","24.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"221","https://leetcode.com/problems/maximal-square","Maximal Square","Medium","50.3%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"227","https://leetcode.com/problems/basic-calculator-ii","Basic Calculator II","Medium","46.9%","75.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"251","https://leetcode.com/problems/flatten-2d-vector","Flatten 2D Vector","Medium","50.5%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"269","https://leetcode.com/problems/alien-dictionary","Alien Dictionary","Hard","37.2%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"3076","https://leetcode.com/problems/shortest-uncommon-substring-in-an-array","Shortest Uncommon Substring in an Array","Medium","50.6%","62.5%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"1235","https://leetcode.com/problems/maximum-profit-in-job-scheduling","Maximum Profit in Job Scheduling","Hard","54.7%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"336","https://leetcode.com/problems/palindrome-pairs","Palindrome Pairs","Hard","37.2%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"348","https://leetcode.com/problems/design-tic-tac-toe","Design Tic-Tac-Toe","Medium","58.7%","50.0%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"2189","https://leetcode.com/problems/number-of-ways-to-build-house-of-cards","Number of Ways to Build House of Cards","Medium","62.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"385","https://leetcode.com/problems/mini-parser","Mini Parser","Medium","42.6%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1284","https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix","Minimum Number of Flips to Convert Binary Matrix to Zero Matrix","Hard","72.7%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1298","https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes","Maximum Candies You Can Get from Boxes","Hard","67.5%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"415","https://leetcode.com/problems/add-strings","Add Strings","Easy","52.2%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1041","https://leetcode.com/problems/robot-bounded-in-circle","Robot Bounded In Circle","Medium","56.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1557","https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes","Minimum Number of Vertices to Reach All Nodes","Medium","81.6%","75.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","High","Must revise; common company/OA pattern."
"1554","https://leetcode.com/problems/strings-differ-by-one-character","Strings Differ by One Character","Medium","39.8%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"751","https://leetcode.com/problems/ip-to-cidr","IP to CIDR","Medium","53.6%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"755","https://leetcode.com/problems/pour-water","Pour Water","Medium","49.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"756","https://leetcode.com/problems/pyramid-transition-matrix","Pyramid Transition Matrix","Medium","60.6%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"759","https://leetcode.com/problems/employee-free-time","Employee Free Time","Hard","72.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"773","https://leetcode.com/problems/sliding-puzzle","Sliding Puzzle","Hard","74.4%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"787","https://leetcode.com/problems/cheapest-flights-within-k-stops","Cheapest Flights Within K Stops","Medium","41.8%","75.0%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"864","https://leetcode.com/problems/shortest-path-to-get-all-keys","Shortest Path to Get All Keys","Hard","54.6%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"981","https://leetcode.com/problems/time-based-key-value-store","Time Based Key-Value Store","Medium","49.9%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"1091","https://leetcode.com/problems/shortest-path-in-binary-matrix","Shortest Path in Binary Matrix","Medium","51.5%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"827","https://leetcode.com/problems/making-a-large-island","Making A Large Island","Hard","56.6%","37.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"713","https://leetcode.com/problems/subarray-product-less-than-k","Subarray Product Less Than K","Medium","54.3%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"432","https://leetcode.com/problems/all-oone-data-structure","All O`one Data Structure","Hard","44.3%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"605","https://leetcode.com/problems/can-place-flowers","Can Place Flowers","Easy","29.1%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"631","https://leetcode.com/problems/design-excel-sum-formula","Design Excel Sum Formula","Hard","39.7%","75.0%","Arrays; Design","Sorting / Prefix / Scan; Data Structure Design","High","Must revise; common company/OA pattern."
"400","https://leetcode.com/problems/nth-digit","Nth Digit","Medium","38.2%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"638","https://leetcode.com/problems/shopping-offers","Shopping Offers","Medium","52.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"721","https://leetcode.com/problems/accounts-merge","Accounts Merge","Medium","61.3%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"727","https://leetcode.com/problems/minimum-window-subsequence","Minimum Window Subsequence","Hard","43.8%","37.5%","Arrays","Sorting / Prefix / Scan; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"829","https://leetcode.com/problems/consecutive-numbers-sum","Consecutive Numbers Sum","Hard","42.7%","37.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1928","https://leetcode.com/problems/minimum-cost-to-reach-destination-in-time","Minimum Cost to Reach Destination in Time","Hard","41.6%","37.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
