"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2360","https://leetcode.com/problems/longest-cycle-in-a-graph","Longest Cycle in a Graph","Hard","50.7%","87.5%","Graphs; Linked List","BFS / DFS / Topological Sort; Two Pointers","High","Must revise; common company/OA pattern."
"2359","https://leetcode.com/problems/find-closest-node-to-given-two-nodes","Find Closest Node to Given Two Nodes","Medium","53.0%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"2374","https://leetcode.com/problems/node-with-highest-edge-score","Node With Highest Edge Score","Medium","49.4%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"1993","https://leetcode.com/problems/operations-on-tree","Operations on Tree","Medium","45.4%","100.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"73","https://leetcode.com/problems/set-matrix-zeroes","Set Matrix Zeroes","Medium","62.9%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"3409","https://leetcode.com/problems/longest-subsequence-with-decreasing-adjacent-difference","Longest Subsequence With Decreasing Adjacent Difference","Medium","16.9%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1857","https://leetcode.com/problems/largest-color-value-in-a-directed-graph","Largest Color Value in a Directed Graph","Hard","57.3%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"3515","https://leetcode.com/problems/shortest-path-in-a-weighted-tree","Shortest Path in a Weighted Tree","Hard","42.3%","50.0%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","62.5%","Arrays","Sorting / Prefix / Scan; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1717","https://leetcode.com/problems/maximum-score-from-removing-substrings","Maximum Score From Removing Substrings","Medium","66.5%","50.0%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"134","https://leetcode.com/problems/gas-station","Gas Station","Medium","48.0%","50.0%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"735","https://leetcode.com/problems/asteroid-collision","Asteroid Collision","Medium","47.9%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","50.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3842","https://leetcode.com/problems/toggle-light-bulbs","Toggle Light Bulbs","Easy","72.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"152","https://leetcode.com/problems/maximum-product-subarray","Maximum Product Subarray","Medium","36.4%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
