"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","87.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"1438","https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit","Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit","Medium","57.7%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2517","https://leetcode.com/problems/maximum-tastiness-of-candy-basket","Maximum Tastiness of Candy Basket","Medium","68.2%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","87.5%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"45","https://leetcode.com/problems/jump-game-ii","Jump Game II","Medium","42.9%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"75","https://leetcode.com/problems/sort-colors","Sort Colors","Medium","69.6%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"2543","https://leetcode.com/problems/check-if-point-is-reachable","Check if Point Is Reachable","Hard","45.1%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2043","https://leetcode.com/problems/simple-bank-system","Simple Bank System","Medium","69.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"127","https://leetcode.com/problems/word-ladder","Word Ladder","Hard","45.6%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"135","https://leetcode.com/problems/candy","Candy","Hard","48.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"198","https://leetcode.com/problems/house-robber","House Robber","Medium","53.2%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"721","https://leetcode.com/problems/accounts-merge","Accounts Merge","Medium","61.3%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1202","https://leetcode.com/problems/smallest-string-with-swaps","Smallest String With Swaps","Medium","60.6%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"312","https://leetcode.com/problems/burst-balloons","Burst Balloons","Hard","63.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"815","https://leetcode.com/problems/bus-routes","Bus Routes","Hard","47.3%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1235","https://leetcode.com/problems/maximum-profit-in-job-scheduling","Maximum Profit in Job Scheduling","Hard","54.7%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"337","https://leetcode.com/problems/house-robber-iii","House Robber III","Medium","55.9%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"875","https://leetcode.com/problems/koko-eating-bananas","Koko Eating Bananas","Medium","50.0%","62.5%","Binary Search","Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"402","https://leetcode.com/problems/remove-k-digits","Remove K Digits","Medium","36.9%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
