"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","75.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"412","https://leetcode.com/problems/fizz-buzz","Fizz Buzz","Easy","75.5%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"12","https://leetcode.com/problems/integer-to-roman","Integer to Roman","Medium","71.0%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"13","https://leetcode.com/problems/roman-to-integer","Roman to Integer","Easy","66.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"76","https://leetcode.com/problems/minimum-window-substring","Minimum Window Substring","Hard","47.5%","75.0%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"2405","https://leetcode.com/problems/optimal-partition-of-string","Optimal Partition of String","Medium","78.4%","50.0%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"680","https://leetcode.com/problems/valid-palindrome-ii","Valid Palindrome II","Easy","44.3%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"3627","https://leetcode.com/problems/maximum-median-sum-of-subsequences-of-size-3","Maximum Median Sum of Subsequences of Size 3","Medium","65.1%","75.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
"2193","https://leetcode.com/problems/minimum-number-of-moves-to-make-palindrome","Minimum Number of Moves to Make Palindrome","Hard","52.8%","50.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"881","https://leetcode.com/problems/boats-to-save-people","Boats to Save People","Medium","61.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1526","https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array","Minimum Number of Increments on Subarrays to Form a Target Array","Hard","78.2%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1685","https://leetcode.com/problems/sum-of-absolute-differences-in-a-sorted-array","Sum of Absolute Differences in a Sorted Array","Medium","68.4%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1513","https://leetcode.com/problems/number-of-substrings-with-only-1s","Number of Substrings With Only 1s","Medium","57.4%","50.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","50.0%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"32","https://leetcode.com/problems/longest-valid-parentheses","Longest Valid Parentheses","Hard","38.8%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"9","https://leetcode.com/problems/palindrome-number","Palindrome Number","Easy","60.6%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"3159","https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array","Find Occurrences of an Element in an Array","Medium","73.4%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","50.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"2429","https://leetcode.com/problems/minimize-xor","Minimize XOR","Medium","62.4%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1888","https://leetcode.com/problems/minimum-number-of-flips-to-make-the-binary-string-alternating","Minimum Number of Flips to Make the Binary String Alternating","Medium","53.5%","75.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"322","https://leetcode.com/problems/coin-change","Coin Change","Medium","48.4%","50.0%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"253","https://leetcode.com/problems/meeting-rooms-ii","Meeting Rooms II","Medium","52.7%","50.0%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"875","https://leetcode.com/problems/koko-eating-bananas","Koko Eating Bananas","Medium","50.0%","50.0%","Binary Search","Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"435","https://leetcode.com/problems/non-overlapping-intervals","Non-overlapping Intervals","Medium","57.1%","50.0%","Arrays; Greedy","Sorting / Prefix / Scan; Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"215","https://leetcode.com/problems/kth-largest-element-in-an-array","Kth Largest Element in an Array","Medium","68.9%","50.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"560","https://leetcode.com/problems/subarray-sum-equals-k","Subarray Sum Equals K","Medium","47.3%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1758","https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string","Minimum Changes To Make Alternating Binary String","Easy","67.8%","62.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","50.0%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"48","https://leetcode.com/problems/rotate-image","Rotate Image","Medium","80.1%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"647","https://leetcode.com/problems/palindromic-substrings","Palindromic Substrings","Medium","72.8%","50.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
