"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","87.5%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"1296","https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers","Divide Array in Sets of K Consecutive Numbers","Medium","59.3%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"348","https://leetcode.com/problems/design-tic-tac-toe","Design Tic-Tac-Toe","Medium","58.7%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"317","https://leetcode.com/problems/shortest-distance-from-all-buildings","Shortest Distance from All Buildings","Hard","44.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"149","https://leetcode.com/problems/max-points-on-a-line","Max Points on a Line","Hard","30.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1197","https://leetcode.com/problems/minimum-knight-moves","Minimum Knight Moves","Medium","42.0%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"162","https://leetcode.com/problems/find-peak-element","Find Peak Element","Medium","47.0%","62.5%","Binary Search","Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"253","https://leetcode.com/problems/meeting-rooms-ii","Meeting Rooms II","Medium","52.7%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"84","https://leetcode.com/problems/largest-rectangle-in-histogram","Largest Rectangle in Histogram","Hard","49.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"631","https://leetcode.com/problems/design-excel-sum-formula","Design Excel Sum Formula","Hard","39.7%","62.5%","Arrays; Design","Sorting / Prefix / Scan; Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"939","https://leetcode.com/problems/minimum-area-rectangle","Minimum Area Rectangle","Medium","55.4%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"359","https://leetcode.com/problems/logger-rate-limiter","Logger Rate Limiter","Easy","76.8%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"1631","https://leetcode.com/problems/path-with-minimum-effort","Path With Minimum Effort","Medium","63.2%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"10","https://leetcode.com/problems/regular-expression-matching","Regular Expression Matching","Hard","31.0%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"871","https://leetcode.com/problems/minimum-number-of-refueling-stops","Minimum Number of Refueling Stops","Hard","41.4%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1944","https://leetcode.com/problems/number-of-visible-people-in-a-queue","Number of Visible People in a Queue","Hard","73.1%","62.5%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"269","https://leetcode.com/problems/alien-dictionary","Alien Dictionary","Hard","37.2%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"528","https://leetcode.com/problems/random-pick-with-weight","Random Pick with Weight","Medium","49.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2008","https://leetcode.com/problems/maximum-earnings-from-taxi","Maximum Earnings From Taxi","Medium","46.5%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"304","https://leetcode.com/problems/range-sum-query-2d-immutable","Range Sum Query 2D - Immutable","Medium","58.3%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"489","https://leetcode.com/problems/robot-room-cleaner","Robot Room Cleaner","Hard","78.0%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"305","https://leetcode.com/problems/number-of-islands-ii","Number of Islands II","Hard","40.6%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"853","https://leetcode.com/problems/car-fleet","Car Fleet","Medium","55.1%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
