"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"1743","https://leetcode.com/problems/restore-the-array-from-adjacent-pairs","Restore the Array From Adjacent Pairs","Medium","75.0%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"347","https://leetcode.com/problems/top-k-frequent-elements","Top K Frequent Elements","Medium","66.4%","100.0%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"37","https://leetcode.com/problems/sudoku-solver","Sudoku Solver","Hard","65.5%","75.0%","Backtracking","Backtracking","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","100.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"968","https://leetcode.com/problems/binary-tree-cameras","Binary Tree Cameras","Hard","47.9%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"45","https://leetcode.com/problems/jump-game-ii","Jump Game II","Medium","42.9%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"493","https://leetcode.com/problems/reverse-pairs","Reverse Pairs","Hard","34.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
