"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"628","https://leetcode.com/problems/maximum-product-of-three-numbers","Maximum Product of Three Numbers","Easy","45.9%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"844","https://leetcode.com/problems/backspace-string-compare","Backspace String Compare","Easy","49.9%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"43","https://leetcode.com/problems/multiply-strings","Multiply Strings","Medium","44.2%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"394","https://leetcode.com/problems/decode-string","Decode String","Medium","62.6%","100.0%","Strings; Dynamic Programming; Stack / Queue","Hashing / Sliding Window; State Transition; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"1004","https://leetcode.com/problems/max-consecutive-ones-iii","Max Consecutive Ones III","Medium","67.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"864","https://leetcode.com/problems/shortest-path-to-get-all-keys","Shortest Path to Get All Keys","Hard","54.6%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"679","https://leetcode.com/problems/24-game","24 Game","Hard","59.5%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"680","https://leetcode.com/problems/valid-palindrome-ii","Valid Palindrome II","Easy","44.3%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"347","https://leetcode.com/problems/top-k-frequent-elements","Top K Frequent Elements","Medium","66.4%","100.0%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"678","https://leetcode.com/problems/valid-parenthesis-string","Valid Parenthesis String","Medium","40.1%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"135","https://leetcode.com/problems/candy","Candy","Hard","48.5%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"695","https://leetcode.com/problems/max-area-of-island","Max Area of Island","Medium","74.0%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
