"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"79","https://leetcode.com/problems/word-search","Word Search","Medium","47.4%","87.5%","Strings; Binary Search","Hashing / Sliding Window; Binary Search","High","Must revise; common company/OA pattern."
"1160","https://leetcode.com/problems/find-words-that-can-be-formed-by-characters","Find Words That Can Be Formed by Characters","Easy","71.6%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2133","https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers","Check if Every Row and Column Contains All Numbers","Easy","54.1%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1604","https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period","Alert Using Same Key-Card Three or More Times in a One Hour Period","Medium","46.3%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"383","https://leetcode.com/problems/ransom-note","Ransom Note","Easy","66.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"221","https://leetcode.com/problems/maximal-square","Maximal Square","Medium","50.3%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"55","https://leetcode.com/problems/jump-game","Jump Game","Medium","40.9%","50.0%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"36","https://leetcode.com/problems/valid-sudoku","Valid Sudoku","Medium","64.5%","62.5%","Strings; Backtracking","Hashing / Sliding Window; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","50.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"2225","https://leetcode.com/problems/find-players-with-zero-or-one-losses","Find Players With Zero or One Losses","Medium","72.5%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
