"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"443","https://leetcode.com/problems/string-compression","String Compression","Medium","60.0%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"283","https://leetcode.com/problems/move-zeroes","Move Zeroes","Easy","63.8%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"981","https://leetcode.com/problems/time-based-key-value-store","Time Based Key-Value Store","Medium","49.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"271","https://leetcode.com/problems/encode-and-decode-strings","Encode and Decode Strings","Medium","51.6%","87.5%","Strings; Dynamic Programming; Stack / Queue","Hashing / Sliding Window; State Transition; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"977","https://leetcode.com/problems/squares-of-a-sorted-array","Squares of a Sorted Array","Easy","73.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"207","https://leetcode.com/problems/course-schedule","Course Schedule","Medium","51.4%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"133","https://leetcode.com/problems/clone-graph","Clone Graph","Medium","65.3%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
