"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"761","https://leetcode.com/problems/special-binary-string","Special Binary String","Hard","79.3%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"3138","https://leetcode.com/problems/minimum-length-of-anagram-concatenation","Minimum Length of Anagram Concatenation","Medium","39.8%","75.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","75.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"3380","https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-i","Maximum Area Rectangle With Point Constraints I","Medium","51.7%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3382","https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-ii","Maximum Area Rectangle With Point Constraints II","Hard","24.0%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2539","https://leetcode.com/problems/count-the-number-of-good-subsequences","Count the Number of Good Subsequences","Medium","48.6%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3136","https://leetcode.com/problems/valid-word","Valid Word","Easy","50.9%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"3511","https://leetcode.com/problems/make-a-positive-array","Make a Positive Array","Medium","36.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"2592","https://leetcode.com/problems/maximize-greatness-of-an-array","Maximize Greatness of an Array","Medium","61.7%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"125","https://leetcode.com/problems/valid-palindrome","Valid Palindrome","Easy","53.3%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
