"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","100.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"4","https://leetcode.com/problems/median-of-two-sorted-arrays","Median of Two Sorted Arrays","Hard","46.6%","100.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
"17","https://leetcode.com/problems/letter-combinations-of-a-phone-number","Letter Combinations of a Phone Number","Medium","66.1%","100.0%","Strings; Backtracking","Hashing / Sliding Window; Backtracking","High","Must revise; common company/OA pattern."
"1001","https://leetcode.com/problems/grid-illumination","Grid Illumination","Hard","39.3%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"609","https://leetcode.com/problems/find-duplicate-file-in-system","Find Duplicate File in System","Medium","67.5%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2043","https://leetcode.com/problems/simple-bank-system","Simple Bank System","Medium","69.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"140","https://leetcode.com/problems/word-break-ii","Word Break II","Hard","55.6%","100.0%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","High","Must revise; common company/OA pattern."
"1236","https://leetcode.com/problems/web-crawler","Web Crawler","Medium","68.8%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1178","https://leetcode.com/problems/number-of-valid-words-for-each-puzzle","Number of Valid Words for Each Puzzle","Hard","47.8%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"290","https://leetcode.com/problems/word-pattern","Word Pattern","Easy","44.1%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"289","https://leetcode.com/problems/game-of-life","Game of Life","Medium","72.6%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"291","https://leetcode.com/problems/word-pattern-ii","Word Pattern II","Medium","48.8%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2296","https://leetcode.com/problems/design-a-text-editor","Design a Text Editor","Hard","50.7%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"1242","https://leetcode.com/problems/web-crawler-multithreaded","Web Crawler Multithreaded","Medium","51.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1250","https://leetcode.com/problems/check-if-it-is-a-good-array","Check If It Is a Good Array","Hard","65.0%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"362","https://leetcode.com/problems/design-hit-counter","Design Hit Counter","Medium","69.7%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"1845","https://leetcode.com/problems/seat-reservation-manager","Seat Reservation Manager","Medium","67.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"924","https://leetcode.com/problems/minimize-malware-spread","Minimize Malware Spread","Hard","43.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"928","https://leetcode.com/problems/minimize-malware-spread-ii","Minimize Malware Spread II","Hard","45.6%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"843","https://leetcode.com/problems/guess-the-word","Guess the Word","Hard","36.7%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"135","https://leetcode.com/problems/candy","Candy","Hard","48.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
