"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1411","https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid","Number of Ways to Paint N × 3 Grid","Hard","80.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","75.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"664","https://leetcode.com/problems/strange-printer","Strange Printer","Hard","60.9%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3148","https://leetcode.com/problems/maximum-difference-score-in-a-grid","Maximum Difference Score in a Grid","Medium","48.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3719","https://leetcode.com/problems/longest-balanced-subarray-i","Longest Balanced Subarray I","Medium","65.6%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2812","https://leetcode.com/problems/find-the-safest-path-in-a-grid","Find the Safest Path in a Grid","Medium","48.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"322","https://leetcode.com/problems/coin-change","Coin Change","Medium","48.4%","87.5%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"772","https://leetcode.com/problems/basic-calculator-iii","Basic Calculator III","Hard","53.3%","87.5%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"647","https://leetcode.com/problems/palindromic-substrings","Palindromic Substrings","Medium","72.8%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
