"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"3131","https://leetcode.com/problems/find-the-integer-added-to-array-i","Find the Integer Added to Array I","Easy","82.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3132","https://leetcode.com/problems/find-the-integer-added-to-array-ii","Find the Integer Added to Array II","Medium","33.0%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3144","https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency","Minimum Substring Partition of Equal Character Frequency","Medium","40.3%","62.5%","Arrays; Strings; Trees; Dynamic Programming","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS; State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"3180","https://leetcode.com/problems/maximum-total-reward-using-operations-i","Maximum Total Reward Using Operations I","Medium","30.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3181","https://leetcode.com/problems/maximum-total-reward-using-operations-ii","Maximum Total Reward Using Operations II","Hard","21.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3097","https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii","Shortest Subarray With OR at Least K II","Medium","50.2%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3095","https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i","Shortest Subarray With OR at Least K I","Easy","44.6%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3213","https://leetcode.com/problems/construct-string-with-minimum-cost","Construct String with Minimum Cost","Hard","19.0%","62.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"3128","https://leetcode.com/problems/right-triangles","Right Triangles","Medium","48.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"556","https://leetcode.com/problems/next-greater-element-iii","Next Greater Element III","Medium","35.3%","62.5%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"2978","https://leetcode.com/problems/symmetric-coordinates","Symmetric Coordinates","Medium","41.3%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"118","https://leetcode.com/problems/pascals-triangle","Pascal's Triangle","Easy","78.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"31","https://leetcode.com/problems/next-permutation","Next Permutation","Medium","45.3%","75.0%","Backtracking","Backtracking","High","Must revise; common company/OA pattern."
"6","https://leetcode.com/problems/zigzag-conversion","Zigzag Conversion","Medium","54.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
