"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1249","https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses","Minimum Remove to Make Valid Parentheses","Medium","71.5%","62.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"339","https://leetcode.com/problems/nested-list-weight-sum","Nested List Weight Sum","Medium","86.0%","62.5%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","100.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1004","https://leetcode.com/problems/max-consecutive-ones-iii","Max Consecutive Ones III","Medium","67.7%","62.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"1650","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii","Lowest Common Ancestor of a Binary Tree III","Medium","83.0%","62.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"396","https://leetcode.com/problems/rotate-function","Rotate Function","Medium","54.1%","62.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1539","https://leetcode.com/problems/kth-missing-positive-number","Kth Missing Positive Number","Easy","63.5%","75.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
"65","https://leetcode.com/problems/valid-number","Valid Number","Hard","23.0%","62.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"238","https://leetcode.com/problems/product-of-array-except-self","Product of Array Except Self","Medium","68.9%","62.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"82","https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii","Remove Duplicates from Sorted List II","Medium","51.8%","62.5%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"347","https://leetcode.com/problems/top-k-frequent-elements","Top K Frequent Elements","Medium","66.4%","62.5%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"1674","https://leetcode.com/problems/minimum-moves-to-make-array-complementary","Minimum Moves to Make Array Complementary","Medium","65.0%","62.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"18","https://leetcode.com/problems/4sum","4Sum","Medium","40.6%","62.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"73","https://leetcode.com/problems/set-matrix-zeroes","Set Matrix Zeroes","Medium","62.9%","62.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"55","https://leetcode.com/problems/jump-game","Jump Game","Medium","40.9%","62.5%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"88","https://leetcode.com/problems/merge-sorted-array","Merge Sorted Array","Easy","54.9%","62.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"543","https://leetcode.com/problems/diameter-of-binary-tree","Diameter of Binary Tree","Easy","65.5%","62.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"525","https://leetcode.com/problems/contiguous-array","Contiguous Array","Medium","51.3%","62.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"209","https://leetcode.com/problems/minimum-size-subarray-sum","Minimum Size Subarray Sum","Medium","51.7%","62.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","62.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
