"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"696","https://leetcode.com/problems/count-binary-substrings","Count Binary Substrings","Easy","70.4%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"253","https://leetcode.com/problems/meeting-rooms-ii","Meeting Rooms II","Medium","52.7%","87.5%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","87.5%","Arrays","Sorting / Prefix / Scan; Sliding Window","High","Must revise; common company/OA pattern."
"2491","https://leetcode.com/problems/divide-players-into-teams-of-equal-skill","Divide Players Into Teams of Equal Skill","Medium","68.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","100.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"2054","https://leetcode.com/problems/two-best-non-overlapping-events","Two Best Non-Overlapping Events","Medium","64.0%","62.5%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1529","https://leetcode.com/problems/minimum-suffix-flips","Minimum Suffix Flips","Medium","73.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"2182","https://leetcode.com/problems/construct-string-with-repeat-limit","Construct String With Repeat Limit","Medium","70.8%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"560","https://leetcode.com/problems/subarray-sum-equals-k","Subarray Sum Equals K","Medium","47.3%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"1710","https://leetcode.com/problems/maximum-units-on-a-truck","Maximum Units on a Truck","Easy","74.9%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"678","https://leetcode.com/problems/valid-parenthesis-string","Valid Parenthesis String","Medium","40.1%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"48","https://leetcode.com/problems/rotate-image","Rotate Image","Medium","80.1%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
