"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1166","https://leetcode.com/problems/design-file-system","Design File System","Medium","65.1%","37.5%","Design","Data Structure Design","Low","Good for coverage after core list is complete."
"1048","https://leetcode.com/problems/longest-string-chain","Longest String Chain","Medium","63.0%","37.5%","Strings","Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"2034","https://leetcode.com/problems/stock-price-fluctuation","Stock Price Fluctuation","Medium","49.0%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"229","https://leetcode.com/problems/majority-element-ii","Majority Element II","Medium","56.2%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"300","https://leetcode.com/problems/longest-increasing-subsequence","Longest Increasing Subsequence","Medium","59.4%","37.5%","Dynamic Programming","State Transition","Low","Good for coverage after core list is complete."
"353","https://leetcode.com/problems/design-snake-game","Design Snake Game","Medium","40.0%","87.5%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"359","https://leetcode.com/problems/logger-rate-limiter","Logger Rate Limiter","Easy","76.8%","50.0%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"432","https://leetcode.com/problems/all-oone-data-structure","All O`one Data Structure","Hard","44.3%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1366","https://leetcode.com/problems/rank-teams-by-votes","Rank Teams by Votes","Medium","60.1%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","37.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","Low","Good for coverage after core list is complete."
"875","https://leetcode.com/problems/koko-eating-bananas","Koko Eating Bananas","Medium","50.0%","50.0%","Binary Search","Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","37.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Low","Good for coverage after core list is complete."
"881","https://leetcode.com/problems/boats-to-save-people","Boats to Save People","Medium","61.8%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"3026","https://leetcode.com/problems/maximum-good-subarray-sum","Maximum Good Subarray Sum","Medium","21.9%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"2933","https://leetcode.com/problems/high-access-employees","High-Access Employees","Medium","47.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2976","https://leetcode.com/problems/minimum-cost-to-convert-string-i","Minimum Cost to Convert String I","Medium","63.2%","37.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"2598","https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations","Smallest Missing Non-negative Integer After Operations","Medium","56.0%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"2977","https://leetcode.com/problems/minimum-cost-to-convert-string-ii","Minimum Cost to Convert String II","Hard","59.6%","37.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"2959","https://leetcode.com/problems/number-of-possible-sets-of-closing-branches","Number of Possible Sets of Closing Branches","Hard","51.0%","37.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2948","https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements","Make Lexicographically Smallest Array by Swapping Elements","Medium","60.3%","37.5%","Arrays; Graphs","Sorting / Prefix / Scan; BFS / DFS / Topological Sort","Low","Good for coverage after core list is complete."
"1307","https://leetcode.com/problems/verbal-arithmetic-puzzle","Verbal Arithmetic Puzzle","Hard","34.9%","37.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2577","https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid","Minimum Time to Visit a Cell In a Grid","Hard","56.3%","37.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"128","https://leetcode.com/problems/longest-consecutive-sequence","Longest Consecutive Sequence","Medium","47.1%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"2975","https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field","Maximum Square Area by Removing Fences From a Field","Medium","49.5%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3000","https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle","Maximum Area of Longest Diagonal Rectangle","Easy","45.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"362","https://leetcode.com/problems/design-hit-counter","Design Hit Counter","Medium","69.7%","37.5%","Design","Data Structure Design","Low","Good for coverage after core list is complete."
"347","https://leetcode.com/problems/top-k-frequent-elements","Top K Frequent Elements","Medium","66.4%","50.0%","Heap","Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
