"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"57","https://leetcode.com/problems/insert-interval","Insert Interval","Medium","45.2%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"617","https://leetcode.com/problems/merge-two-binary-trees","Merge Two Binary Trees","Easy","79.1%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"1242","https://leetcode.com/problems/web-crawler-multithreaded","Web Crawler Multithreaded","Medium","51.2%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"139","https://leetcode.com/problems/word-break","Word Break","Medium","49.5%","100.0%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","High","Must revise; common company/OA pattern."
"2034","https://leetcode.com/problems/stock-price-fluctuation","Stock Price Fluctuation","Medium","49.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","75.0%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","High","Must revise; common company/OA pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","62.5%","Arrays","Sorting / Prefix / Scan; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"349","https://leetcode.com/problems/intersection-of-two-arrays","Intersection of Two Arrays","Easy","77.8%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"236","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree","Lowest Common Ancestor of a Binary Tree","Medium","69.3%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"2759","https://leetcode.com/problems/convert-json-string-to-object","Convert JSON String to Object","Hard","62.0%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"208","https://leetcode.com/problems/implement-trie-prefix-tree","Implement Trie (Prefix Tree)","Medium","69.5%","100.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"642","https://leetcode.com/problems/design-search-autocomplete-system","Design Search Autocomplete System","Hard","50.0%","62.5%","Binary Search; Design","Binary Search; Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"210","https://leetcode.com/problems/course-schedule-ii","Course Schedule II","Medium","55.5%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"1146","https://leetcode.com/problems/snapshot-array","Snapshot Array","Medium","36.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1650","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii","Lowest Common Ancestor of a Binary Tree III","Medium","83.0%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
