"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1235","https://leetcode.com/problems/maximum-profit-in-job-scheduling","Maximum Profit in Job Scheduling","Hard","54.7%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3123","https://leetcode.com/problems/find-edges-in-shortest-paths","Find Edges in Shortest Paths","Hard","46.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"329","https://leetcode.com/problems/longest-increasing-path-in-a-matrix","Longest Increasing Path in a Matrix","Hard","56.6%","75.0%","Arrays; Dynamic Programming","Sorting / Prefix / Scan; State Transition","High","Must revise; common company/OA pattern."
"2592","https://leetcode.com/problems/maximize-greatness-of-an-array","Maximize Greatness of an Array","Medium","61.7%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"778","https://leetcode.com/problems/swim-in-rising-water","Swim in Rising Water","Hard","67.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2791","https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree","Count Paths That Can Form a Palindrome in a Tree","Hard","52.2%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"696","https://leetcode.com/problems/count-binary-substrings","Count Binary Substrings","Easy","70.4%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"353","https://leetcode.com/problems/design-snake-game","Design Snake Game","Medium","40.0%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"1559","https://leetcode.com/problems/detect-cycles-in-2d-grid","Detect Cycles in 2D Grid","Medium","63.3%","75.0%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
