"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"14","https://leetcode.com/problems/longest-common-prefix","Longest Common Prefix","Easy","47.6%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1472","https://leetcode.com/problems/design-browser-history","Design Browser History","Medium","78.3%","50.0%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"48","https://leetcode.com/problems/rotate-image","Rotate Image","Medium","80.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"621","https://leetcode.com/problems/task-scheduler","Task Scheduler","Medium","63.1%","87.5%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"1552","https://leetcode.com/problems/magnetic-force-between-two-balls","Magnetic Force Between Two Balls","Medium","72.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"208","https://leetcode.com/problems/implement-trie-prefix-tree","Implement Trie (Prefix Tree)","Medium","69.5%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"767","https://leetcode.com/problems/reorganize-string","Reorganize String","Medium","57.1%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"811","https://leetcode.com/problems/subdomain-visit-count","Subdomain Visit Count","Medium","77.2%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1248","https://leetcode.com/problems/count-number-of-nice-subarrays","Count Number of Nice Subarrays","Medium","75.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"362","https://leetcode.com/problems/design-hit-counter","Design Hit Counter","Medium","69.7%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"1282","https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to","Group the People Given the Group Size They Belong To","Medium","87.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1290","https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer","Convert Binary Number in a Linked List to Integer","Easy","82.4%","75.0%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"1280","https://leetcode.com/problems/students-and-examinations","Students and Examinations","Easy","61.2%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1297","https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring","Maximum Number of Occurrences of a Substring","Medium","54.5%","75.0%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"2817","https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint","Minimum Absolute Difference Between Elements With Constraint","Medium","37.7%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1364","https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer","Number of Trusted Contacts of a Customer","Medium","74.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1419","https://leetcode.com/problems/minimum-number-of-frogs-croaking","Minimum Number of Frogs Croaking","Medium","51.1%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2251","https://leetcode.com/problems/number-of-flowers-in-full-bloom","Number of Flowers in Full Bloom","Hard","57.9%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"273","https://leetcode.com/problems/integer-to-english-words","Integer to English Words","Hard","35.0%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"84","https://leetcode.com/problems/largest-rectangle-in-histogram","Largest Rectangle in Histogram","Hard","49.9%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
