"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"202","https://leetcode.com/problems/happy-number","Happy Number","Easy","59.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"498","https://leetcode.com/problems/diagonal-traverse","Diagonal Traverse","Medium","67.2%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2642","https://leetcode.com/problems/design-graph-with-shortest-path-calculator","Design Graph With Shortest Path Calculator","Hard","65.2%","75.0%","Graphs; Stack / Queue; Design","BFS / DFS / Topological Sort; Monotonic Stack / Simulation; Data Structure Design","High","Must revise; common company/OA pattern."
"155","https://leetcode.com/problems/min-stack","Min Stack","Medium","58.2%","87.5%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"605","https://leetcode.com/problems/can-place-flowers","Can Place Flowers","Easy","29.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"31","https://leetcode.com/problems/next-permutation","Next Permutation","Medium","45.3%","75.0%","Backtracking","Backtracking","High","Must revise; common company/OA pattern."
"122","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii","Best Time to Buy and Sell Stock II","Medium","71.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"32","https://leetcode.com/problems/longest-valid-parentheses","Longest Valid Parentheses","Hard","38.8%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"55","https://leetcode.com/problems/jump-game","Jump Game","Medium","40.9%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"287","https://leetcode.com/problems/find-the-duplicate-number","Find the Duplicate Number","Medium","64.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
