"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"281","https://leetcode.com/problems/zigzag-iterator","Zigzag Iterator","Medium","67.0%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"994","https://leetcode.com/problems/rotting-oranges","Rotting Oranges","Medium","58.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"54","https://leetcode.com/problems/spiral-matrix","Spiral Matrix","Medium","56.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","100.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"11","https://leetcode.com/problems/container-with-most-water","Container With Most Water","Medium","60.0%","87.5%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"976","https://leetcode.com/problems/largest-perimeter-triangle","Largest Perimeter Triangle","Easy","62.2%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"22","https://leetcode.com/problems/generate-parentheses","Generate Parentheses","Medium","78.7%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"322","https://leetcode.com/problems/coin-change","Coin Change","Medium","48.4%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"134","https://leetcode.com/problems/gas-station","Gas Station","Medium","48.0%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
