"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2043","https://leetcode.com/problems/simple-bank-system","Simple Bank System","Medium","69.7%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2502","https://leetcode.com/problems/design-memory-allocator","Design Memory Allocator","Medium","50.1%","87.5%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"1743","https://leetcode.com/problems/restore-the-array-from-adjacent-pairs","Restore the Array From Adjacent Pairs","Medium","75.0%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3072","https://leetcode.com/problems/distribute-elements-into-two-arrays-ii","Distribute Elements Into Two Arrays II","Hard","30.7%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"54","https://leetcode.com/problems/spiral-matrix","Spiral Matrix","Medium","56.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"723","https://leetcode.com/problems/candy-crush","Candy Crush","Medium","77.4%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2672","https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color","Number of Adjacent Elements With the Same Color","Medium","59.6%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3043","https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix","Find the Length of the Longest Common Prefix","Medium","62.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"257","https://leetcode.com/problems/binary-tree-paths","Binary Tree Paths","Easy","68.7%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
