"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"4","https://leetcode.com/problems/median-of-two-sorted-arrays","Median of Two Sorted Arrays","Hard","46.6%","62.5%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"443","https://leetcode.com/problems/string-compression","String Compression","Medium","60.0%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"155","https://leetcode.com/problems/min-stack","Min Stack","Medium","58.2%","62.5%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"64","https://leetcode.com/problems/minimum-path-sum","Minimum Path Sum","Medium","68.2%","50.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"102","https://leetcode.com/problems/binary-tree-level-order-traversal","Binary Tree Level Order Traversal","Medium","72.7%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"2831","https://leetcode.com/problems/find-the-longest-equal-subarray","Find the Longest Equal Subarray","Medium","38.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","50.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"380","https://leetcode.com/problems/insert-delete-getrandom-o1","Insert Delete GetRandom O(1)","Medium","55.4%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"21","https://leetcode.com/problems/merge-two-sorted-lists","Merge Two Sorted Lists","Easy","68.3%","50.0%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"12","https://leetcode.com/problems/integer-to-roman","Integer to Roman","Medium","71.0%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","50.0%","Arrays","Sorting / Prefix / Scan; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"93","https://leetcode.com/problems/restore-ip-addresses","Restore IP Addresses","Medium","56.0%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"33","https://leetcode.com/problems/search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","44.9%","50.0%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"224","https://leetcode.com/problems/basic-calculator","Basic Calculator","Hard","46.9%","50.0%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"226","https://leetcode.com/problems/invert-binary-tree","Invert Binary Tree","Easy","80.1%","50.0%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"14","https://leetcode.com/problems/longest-common-prefix","Longest Common Prefix","Easy","47.6%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"706","https://leetcode.com/problems/design-hashmap","Design HashMap","Easy","66.6%","50.0%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"692","https://leetcode.com/problems/top-k-frequent-words","Top K Frequent Words","Medium","60.2%","50.0%","Strings; Heap","Hashing / Sliding Window; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"139","https://leetcode.com/problems/word-break","Word Break","Medium","49.5%","50.0%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"252","https://leetcode.com/problems/meeting-rooms","Meeting Rooms","Easy","59.4%","50.0%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"2086","https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters","Minimum Number of Food Buckets to Feed the Hamsters","Medium","48.4%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"112","https://leetcode.com/problems/path-sum","Path Sum","Easy","54.9%","50.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"113","https://leetcode.com/problems/path-sum-ii","Path Sum II","Medium","62.2%","50.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"394","https://leetcode.com/problems/decode-string","Decode String","Medium","62.6%","50.0%","Strings; Dynamic Programming; Stack / Queue","Hashing / Sliding Window; State Transition; Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"227","https://leetcode.com/problems/basic-calculator-ii","Basic Calculator II","Medium","46.9%","50.0%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"560","https://leetcode.com/problems/subarray-sum-equals-k","Subarray Sum Equals K","Medium","47.3%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"43","https://leetcode.com/problems/multiply-strings","Multiply Strings","Medium","44.2%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"870","https://leetcode.com/problems/advantage-shuffle","Advantage Shuffle","Medium","54.6%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
