"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","87.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"70","https://leetcode.com/problems/climbing-stairs","Climbing Stairs","Easy","54.1%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"1234","https://leetcode.com/problems/replace-the-substring-for-balanced-string","Replace the Substring for Balanced String","Medium","40.9%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"2422","https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome","Merge Operations to Turn Array Into a Palindrome","Medium","68.9%","62.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1143","https://leetcode.com/problems/longest-common-subsequence","Longest Common Subsequence","Medium","59.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"80","https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii","Remove Duplicates from Sorted Array II","Medium","64.7%","62.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"735","https://leetcode.com/problems/asteroid-collision","Asteroid Collision","Medium","47.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"2","https://leetcode.com/problems/add-two-numbers","Add Two Numbers","Medium","48.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1654","https://leetcode.com/problems/minimum-jumps-to-reach-home","Minimum Jumps to Reach Home","Medium","30.8%","62.5%","Arrays; Greedy","Sorting / Prefix / Scan; Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"134","https://leetcode.com/problems/gas-station","Gas Station","Medium","48.0%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"321","https://leetcode.com/problems/create-maximum-number","Create Maximum Number","Hard","35.5%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
