"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"2826","https://leetcode.com/problems/sorting-three-groups","Sorting Three Groups","Medium","43.1%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1036","https://leetcode.com/problems/escape-a-large-maze","Escape a Large Maze","Hard","36.6%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1162","https://leetcode.com/problems/as-far-from-land-as-possible","As Far from Land as Possible","Medium","52.3%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"827","https://leetcode.com/problems/making-a-large-island","Making A Large Island","Hard","56.6%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"881","https://leetcode.com/problems/boats-to-save-people","Boats to Save People","Medium","61.8%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"990","https://leetcode.com/problems/satisfiability-of-equality-equations","Satisfiability of Equality Equations","Medium","51.9%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"424","https://leetcode.com/problems/longest-repeating-character-replacement","Longest Repeating Character Replacement","Medium","59.7%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"312","https://leetcode.com/problems/burst-balloons","Burst Balloons","Hard","63.5%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2603","https://leetcode.com/problems/collect-coins-in-a-tree","Collect Coins in a Tree","Hard","40.1%","100.0%","Trees; Dynamic Programming","DFS / BFS; State Transition","High","Must revise; common company/OA pattern."
