"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2509","https://leetcode.com/problems/cycle-length-queries-in-a-tree","Cycle Length Queries in a Tree","Hard","60.4%","100.0%","Trees; Linked List","DFS / BFS; Two Pointers","High","Must revise; common company/OA pattern."
"2024","https://leetcode.com/problems/maximize-the-confusion-of-an-exam","Maximize the Confusion of an Exam","Medium","70.0%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1567","https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product","Maximum Length of Subarray With Positive Product","Medium","44.7%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2211","https://leetcode.com/problems/count-collisions-on-a-road","Count Collisions on a Road","Medium","58.1%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2327","https://leetcode.com/problems/number-of-people-aware-of-a-secret","Number of People Aware of a Secret","Medium","60.8%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2035","https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference","Partition Array Into Two Arrays to Minimize Sum Difference","Hard","23.4%","100.0%","Arrays; Dynamic Programming","Sorting / Prefix / Scan; State Transition","High","Must revise; common company/OA pattern."
"72","https://leetcode.com/problems/edit-distance","Edit Distance","Medium","60.6%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"3250","https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i","Find the Count of Monotonic Pairs I","Hard","47.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2134","https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii","Minimum Swaps to Group All 1's Together II","Medium","65.6%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"85","https://leetcode.com/problems/maximal-rectangle","Maximal Rectangle","Hard","58.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2560","https://leetcode.com/problems/house-robber-iv","House Robber IV","Medium","64.7%","87.5%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"4","https://leetcode.com/problems/median-of-two-sorted-arrays","Median of Two Sorted Arrays","Hard","46.6%","62.5%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"127","https://leetcode.com/problems/word-ladder","Word Ladder","Hard","45.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
