"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"349","https://leetcode.com/problems/intersection-of-two-arrays","Intersection of Two Arrays","Easy","77.8%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"733","https://leetcode.com/problems/flood-fill","Flood Fill","Easy","68.3%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"383","https://leetcode.com/problems/ransom-note","Ransom Note","Easy","66.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","87.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"33","https://leetcode.com/problems/search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","44.9%","75.0%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","High","Must revise; common company/OA pattern."
"528","https://leetcode.com/problems/random-pick-with-weight","Random Pick with Weight","Medium","49.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"350","https://leetcode.com/problems/intersection-of-two-arrays-ii","Intersection of Two Arrays II","Easy","59.9%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"645","https://leetcode.com/problems/set-mismatch","Set Mismatch","Easy","43.6%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
