"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","25.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Low","Good for coverage after core list is complete."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","25.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Low","Good for coverage after core list is complete."
"17","https://leetcode.com/problems/letter-combinations-of-a-phone-number","Letter Combinations of a Phone Number","Medium","66.1%","62.5%","Strings; Backtracking","Hashing / Sliding Window; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"33","https://leetcode.com/problems/search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","44.9%","62.5%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"39","https://leetcode.com/problems/combination-sum","Combination Sum","Medium","76.5%","25.0%","Arrays; Backtracking","Sorting / Prefix / Scan; Backtracking","Low","Good for coverage after core list is complete."
"50","https://leetcode.com/problems/powx-n","Pow(x, n)","Medium","38.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"61","https://leetcode.com/problems/rotate-list","Rotate List","Medium","42.6%","37.5%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","Low","Good for coverage after core list is complete."
"65","https://leetcode.com/problems/valid-number","Valid Number","Hard","23.0%","37.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"88","https://leetcode.com/problems/merge-sorted-array","Merge Sorted Array","Easy","54.9%","25.0%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"102","https://leetcode.com/problems/binary-tree-level-order-traversal","Binary Tree Level Order Traversal","Medium","72.7%","37.5%","Trees","DFS / BFS","Low","Good for coverage after core list is complete."
"127","https://leetcode.com/problems/word-ladder","Word Ladder","Hard","45.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"150","https://leetcode.com/problems/evaluate-reverse-polish-notation","Evaluate Reverse Polish Notation","Medium","57.8%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"155","https://leetcode.com/problems/min-stack","Min Stack","Medium","58.2%","37.5%","Stack / Queue","Monotonic Stack / Simulation","Low","Good for coverage after core list is complete."
"198","https://leetcode.com/problems/house-robber","House Robber","Medium","53.2%","37.5%","Dynamic Programming","State Transition","Low","Good for coverage after core list is complete."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
