"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","87.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","87.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","87.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"6","https://leetcode.com/problems/zigzag-conversion","Zigzag Conversion","Medium","54.2%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"9","https://leetcode.com/problems/palindrome-number","Palindrome Number","Easy","60.6%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"11","https://leetcode.com/problems/container-with-most-water","Container With Most Water","Medium","60.0%","75.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"12","https://leetcode.com/problems/integer-to-roman","Integer to Roman","Medium","71.0%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"13","https://leetcode.com/problems/roman-to-integer","Roman to Integer","Easy","66.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"14","https://leetcode.com/problems/longest-common-prefix","Longest Common Prefix","Easy","47.6%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"10","https://leetcode.com/problems/regular-expression-matching","Regular Expression Matching","Hard","31.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"16","https://leetcode.com/problems/3sum-closest","3Sum Closest","Medium","48.6%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"17","https://leetcode.com/problems/letter-combinations-of-a-phone-number","Letter Combinations of a Phone Number","Medium","66.1%","50.0%","Strings; Backtracking","Hashing / Sliding Window; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"22","https://leetcode.com/problems/generate-parentheses","Generate Parentheses","Medium","78.7%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"26","https://leetcode.com/problems/remove-duplicates-from-sorted-array","Remove Duplicates from Sorted Array","Easy","62.8%","50.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"28","https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string","Find the Index of the First Occurrence in a String","Easy","46.7%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"4","https://leetcode.com/problems/median-of-two-sorted-arrays","Median of Two Sorted Arrays","Hard","46.6%","50.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"33","https://leetcode.com/problems/search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","44.9%","62.5%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"35","https://leetcode.com/problems/search-insert-position","Search Insert Position","Easy","51.3%","37.5%","Binary Search","Binary Search","Low","Good for coverage after core list is complete."
"36","https://leetcode.com/problems/valid-sudoku","Valid Sudoku","Medium","64.5%","62.5%","Strings; Backtracking","Hashing / Sliding Window; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"39","https://leetcode.com/problems/combination-sum","Combination Sum","Medium","76.5%","50.0%","Arrays; Backtracking","Sorting / Prefix / Scan; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"38","https://leetcode.com/problems/count-and-say","Count and Say","Medium","62.9%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","75.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"44","https://leetcode.com/problems/wildcard-matching","Wildcard Matching","Hard","32.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"48","https://leetcode.com/problems/rotate-image","Rotate Image","Medium","80.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"51","https://leetcode.com/problems/n-queens","N-Queens","Hard","75.5%","50.0%","Backtracking","Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"54","https://leetcode.com/problems/spiral-matrix","Spiral Matrix","Medium","56.8%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"55","https://leetcode.com/problems/jump-game","Jump Game","Medium","40.9%","50.0%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"59","https://leetcode.com/problems/spiral-matrix-ii","Spiral Matrix II","Medium","75.1%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"70","https://leetcode.com/problems/climbing-stairs","Climbing Stairs","Easy","54.1%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"72","https://leetcode.com/problems/edit-distance","Edit Distance","Medium","60.6%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"75","https://leetcode.com/problems/sort-colors","Sort Colors","Medium","69.6%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"78","https://leetcode.com/problems/subsets","Subsets","Medium","82.3%","37.5%","Backtracking","Backtracking","Low","Good for coverage after core list is complete."
"79","https://leetcode.com/problems/word-search","Word Search","Medium","47.4%","50.0%","Strings; Binary Search","Hashing / Sliding Window; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"88","https://leetcode.com/problems/merge-sorted-array","Merge Sorted Array","Easy","54.9%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"91","https://leetcode.com/problems/decode-ways","Decode Ways","Medium","38.0%","50.0%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"93","https://leetcode.com/problems/restore-ip-addresses","Restore IP Addresses","Medium","56.0%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"122","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii","Best Time to Buy and Sell Stock II","Medium","71.1%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"128","https://leetcode.com/problems/longest-consecutive-sequence","Longest Consecutive Sequence","Medium","47.1%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"139","https://leetcode.com/problems/word-break","Word Break","Medium","49.5%","50.0%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"151","https://leetcode.com/problems/reverse-words-in-a-string","Reverse Words in a String","Medium","56.4%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"165","https://leetcode.com/problems/compare-version-numbers","Compare Version Numbers","Medium","46.4%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"171","https://leetcode.com/problems/excel-sheet-column-number","Excel Sheet Column Number","Easy","67.8%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"189","https://leetcode.com/problems/rotate-array","Rotate Array","Medium","44.9%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"198","https://leetcode.com/problems/house-robber","House Robber","Medium","53.2%","50.0%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"202","https://leetcode.com/problems/happy-number","Happy Number","Easy","59.7%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"205","https://leetcode.com/problems/isomorphic-strings","Isomorphic Strings","Easy","48.4%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1299","https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side","Replace Elements with Greatest Element on Right Side","Easy","72.2%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2164","https://leetcode.com/problems/sort-even-and-odd-indices-independently","Sort Even and Odd Indices Independently","Easy","63.4%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"238","https://leetcode.com/problems/product-of-array-except-self","Product of Array Except Self","Medium","68.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"273","https://leetcode.com/problems/integer-to-english-words","Integer to English Words","Hard","35.0%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"2221","https://leetcode.com/problems/find-triangular-sum-of-an-array","Find Triangular Sum of an Array","Medium","82.0%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"283","https://leetcode.com/problems/move-zeroes","Move Zeroes","Easy","63.8%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"287","https://leetcode.com/problems/find-the-duplicate-number","Find the Duplicate Number","Medium","64.3%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"290","https://leetcode.com/problems/word-pattern","Word Pattern","Easy","44.1%","37.5%","Strings","Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"322","https://leetcode.com/problems/coin-change","Coin Change","Medium","48.4%","37.5%","Dynamic Programming","State Transition","Low","Good for coverage after core list is complete."
"345","https://leetcode.com/problems/reverse-vowels-of-a-string","Reverse Vowels of a String","Easy","61.3%","37.5%","Strings","Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"1275","https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game","Find Winner on a Tic Tac Toe Game","Easy","54.6%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"394","https://leetcode.com/problems/decode-string","Decode String","Medium","62.6%","100.0%","Strings; Dynamic Programming; Stack / Queue","Hashing / Sliding Window; State Transition; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
