"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","100.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"11","https://leetcode.com/problems/container-with-most-water","Container With Most Water","Medium","60.0%","87.5%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"14","https://leetcode.com/problems/longest-common-prefix","Longest Common Prefix","Easy","47.6%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2065","https://leetcode.com/problems/maximum-path-quality-of-a-graph","Maximum Path Quality of a Graph","Hard","62.2%","87.5%","Arrays; Graphs","Sorting / Prefix / Scan; BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"2954","https://leetcode.com/problems/count-the-number-of-infection-sequences","Count the Number of Infection Sequences","Hard","37.8%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"206","https://leetcode.com/problems/reverse-linked-list","Reverse Linked List","Easy","80.6%","62.5%","Linked List","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"215","https://leetcode.com/problems/kth-largest-element-in-an-array","Kth Largest Element in an Array","Medium","68.9%","62.5%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"1349","https://leetcode.com/problems/maximum-students-taking-exam","Maximum Students Taking Exam","Hard","53.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1341","https://leetcode.com/problems/movie-rating","Movie Rating","Medium","43.4%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2552","https://leetcode.com/problems/count-increasing-quadruplets","Count Increasing Quadruplets","Hard","34.5%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"221","https://leetcode.com/problems/maximal-square","Maximal Square","Medium","50.3%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"125","https://leetcode.com/problems/valid-palindrome","Valid Palindrome","Easy","53.3%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"367","https://leetcode.com/problems/valid-perfect-square","Valid Perfect Square","Easy","44.9%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"1428","https://leetcode.com/problems/leftmost-column-with-at-least-a-one","Leftmost Column with at Least a One","Medium","55.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
