"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2483","https://leetcode.com/problems/minimum-penalty-for-a-shop","Minimum Penalty for a Shop","Medium","71.2%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2050","https://leetcode.com/problems/parallel-courses-iii","Parallel Courses III","Hard","66.8%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"161","https://leetcode.com/problems/one-edit-distance","One Edit Distance","Medium","34.6%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"787","https://leetcode.com/problems/cheapest-flights-within-k-stops","Cheapest Flights Within K Stops","Medium","41.8%","75.0%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"2303","https://leetcode.com/problems/calculate-amount-paid-in-taxes","Calculate Amount Paid in Taxes","Easy","69.3%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2768","https://leetcode.com/problems/number-of-black-blocks","Number of Black Blocks","Medium","41.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1604","https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period","Alert Using Same Key-Card Three or More Times in a One Hour Period","Medium","46.3%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"399","https://leetcode.com/problems/evaluate-division","Evaluate Division","Medium","64.2%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1087","https://leetcode.com/problems/brace-expansion","Brace Expansion","Medium","66.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1169","https://leetcode.com/problems/invalid-transactions","Invalid Transactions","Medium","32.3%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2043","https://leetcode.com/problems/simple-bank-system","Simple Bank System","Medium","69.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
