"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"54","https://leetcode.com/problems/spiral-matrix","Spiral Matrix","Medium","56.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","100.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"13","https://leetcode.com/problems/roman-to-integer","Roman to Integer","Easy","66.6%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"560","https://leetcode.com/problems/subarray-sum-equals-k","Subarray Sum Equals K","Medium","47.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","87.5%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"9","https://leetcode.com/problems/palindrome-number","Palindrome Number","Easy","60.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"88","https://leetcode.com/problems/merge-sorted-array","Merge Sorted Array","Easy","54.9%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"876","https://leetcode.com/problems/middle-of-the-linked-list","Middle of the Linked List","Easy","81.8%","75.0%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
