"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"460","https://leetcode.com/problems/lfu-cache","LFU Cache","Hard","49.2%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"443","https://leetcode.com/problems/string-compression","String Compression","Medium","60.0%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"2571","https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0","Minimum Operations to Reduce an Integer to 0","Medium","62.4%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","50.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"213","https://leetcode.com/problems/house-robber-ii","House Robber II","Medium","44.9%","50.0%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"2380","https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string","Time Needed to Rearrange a Binary String","Medium","53.0%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"994","https://leetcode.com/problems/rotting-oranges","Rotting Oranges","Medium","58.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1219","https://leetcode.com/problems/path-with-maximum-gold","Path with Maximum Gold","Medium","68.4%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1522","https://leetcode.com/problems/diameter-of-n-ary-tree","Diameter of N-Ary Tree","Medium","75.5%","50.0%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"934","https://leetcode.com/problems/shortest-bridge","Shortest Bridge","Medium","59.5%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"6","https://leetcode.com/problems/zigzag-conversion","Zigzag Conversion","Medium","54.2%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1839","https://leetcode.com/problems/longest-substring-of-all-vowels-in-order","Longest Substring Of All Vowels in Order","Medium","51.8%","50.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"628","https://leetcode.com/problems/maximum-product-of-three-numbers","Maximum Product of Three Numbers","Easy","45.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"207","https://leetcode.com/problems/course-schedule","Course Schedule","Medium","51.4%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"2603","https://leetcode.com/problems/collect-coins-in-a-tree","Collect Coins in a Tree","Hard","40.1%","62.5%","Trees; Dynamic Programming","DFS / BFS; State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"105","https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal","Construct Binary Tree from Preorder and Inorder Traversal","Medium","68.8%","50.0%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"355","https://leetcode.com/problems/design-twitter","Design Twitter","Medium","44.7%","50.0%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"3035","https://leetcode.com/problems/maximum-palindromes-after-operations","Maximum Palindromes After Operations","Medium","46.5%","87.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"3634","https://leetcode.com/problems/minimum-removals-to-balance-array","Minimum Removals to Balance Array","Medium","47.9%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2534","https://leetcode.com/problems/time-taken-to-cross-the-door","Time Taken to Cross the Door","Hard","50.3%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"664","https://leetcode.com/problems/strange-printer","Strange Printer","Hard","60.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"25","https://leetcode.com/problems/reverse-nodes-in-k-group","Reverse Nodes in k-Group","Hard","66.1%","50.0%","Trees; Linked List","DFS / BFS; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"992","https://leetcode.com/problems/subarrays-with-k-different-integers","Subarrays with K Different Integers","Hard","68.1%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"210","https://leetcode.com/problems/course-schedule-ii","Course Schedule II","Medium","55.5%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"22","https://leetcode.com/problems/generate-parentheses","Generate Parentheses","Medium","78.7%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
