"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2","https://leetcode.com/problems/add-two-numbers","Add Two Numbers","Medium","48.5%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"546","https://leetcode.com/problems/remove-boxes","Remove Boxes","Hard","49.4%","37.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"48","https://leetcode.com/problems/rotate-image","Rotate Image","Medium","80.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"71","https://leetcode.com/problems/simplify-path","Simplify Path","Medium","50.6%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"723","https://leetcode.com/problems/candy-crush","Candy Crush","Medium","77.4%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3043","https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix","Find the Length of the Longest Common Prefix","Medium","62.2%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1390","https://leetcode.com/problems/four-divisors","Four Divisors","Medium","56.6%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2251","https://leetcode.com/problems/number-of-flowers-in-full-bloom","Number of Flowers in Full Bloom","Hard","57.9%","37.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"3101","https://leetcode.com/problems/count-alternating-subarrays","Count Alternating Subarrays","Medium","57.5%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"2043","https://leetcode.com/problems/simple-bank-system","Simple Bank System","Medium","69.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"435","https://leetcode.com/problems/non-overlapping-intervals","Non-overlapping Intervals","Medium","57.1%","37.5%","Arrays; Greedy","Sorting / Prefix / Scan; Greedy","Low","Good for coverage after core list is complete."
"3161","https://leetcode.com/problems/block-placement-queries","Block Placement Queries","Hard","18.7%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"54","https://leetcode.com/problems/spiral-matrix","Spiral Matrix","Medium","56.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3071","https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid","Minimum Operations to Write the Letter Y on a Grid","Medium","64.6%","87.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1438","https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit","Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit","Medium","57.7%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"257","https://leetcode.com/problems/binary-tree-paths","Binary Tree Paths","Easy","68.7%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"253","https://leetcode.com/problems/meeting-rooms-ii","Meeting Rooms II","Medium","52.7%","37.5%","Greedy","Greedy","Low","Good for coverage after core list is complete."
"1166","https://leetcode.com/problems/design-file-system","Design File System","Medium","65.1%","50.0%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"84","https://leetcode.com/problems/largest-rectangle-in-histogram","Largest Rectangle in Histogram","Hard","49.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"9","https://leetcode.com/problems/palindrome-number","Palindrome Number","Easy","60.6%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"415","https://leetcode.com/problems/add-strings","Add Strings","Easy","52.2%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"2169","https://leetcode.com/problems/count-operations-to-obtain-zero","Count Operations to Obtain Zero","Easy","79.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1861","https://leetcode.com/problems/rotating-the-box","Rotating the Box","Medium","82.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"3045","https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii","Count Prefix and Suffix Pairs II","Hard","28.4%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"3042","https://leetcode.com/problems/count-prefix-and-suffix-pairs-i","Count Prefix and Suffix Pairs I","Easy","77.8%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","37.5%","Strings","Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"2768","https://leetcode.com/problems/number-of-black-blocks","Number of Black Blocks","Medium","41.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"122","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii","Best Time to Buy and Sell Stock II","Medium","71.1%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"2672","https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color","Number of Adjacent Elements With the Same Color","Medium","59.6%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3034","https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i","Number of Subarrays That Match a Pattern I","Medium","68.6%","50.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"2817","https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint","Minimum Absolute Difference Between Elements With Constraint","Medium","37.7%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","37.5%","Design","Data Structure Design","Low","Good for coverage after core list is complete."
"539","https://leetcode.com/problems/minimum-time-difference","Minimum Time Difference","Medium","62.6%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"992","https://leetcode.com/problems/subarrays-with-k-different-integers","Subarrays with K Different Integers","Hard","68.1%","37.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","37.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Low","Good for coverage after core list is complete."
"733","https://leetcode.com/problems/flood-fill","Flood Fill","Easy","68.3%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"11","https://leetcode.com/problems/container-with-most-water","Container With Most Water","Medium","60.0%","50.0%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"2021","https://leetcode.com/problems/brightest-position-on-street","Brightest Position on Street","Medium","60.6%","37.5%","Trees","DFS / BFS","Low","Good for coverage after core list is complete."
"1743","https://leetcode.com/problems/restore-the-array-from-adjacent-pairs","Restore the Array From Adjacent Pairs","Medium","75.0%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1052","https://leetcode.com/problems/grumpy-bookstore-owner","Grumpy Bookstore Owner","Medium","64.0%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"2544","https://leetcode.com/problems/alternating-digit-sum","Alternating Digit Sum","Easy","69.1%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"896","https://leetcode.com/problems/monotonic-array","Monotonic Array","Easy","62.3%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1814","https://leetcode.com/problems/count-nice-pairs-in-an-array","Count Nice Pairs in an Array","Medium","48.4%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"2502","https://leetcode.com/problems/design-memory-allocator","Design Memory Allocator","Medium","50.1%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"332","https://leetcode.com/problems/reconstruct-itinerary","Reconstruct Itinerary","Hard","44.6%","37.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"127","https://leetcode.com/problems/word-ladder","Word Ladder","Hard","45.6%","37.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"3019","https://leetcode.com/problems/number-of-changing-keys","Number of Changing Keys","Easy","80.7%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"560","https://leetcode.com/problems/subarray-sum-equals-k","Subarray Sum Equals K","Medium","47.3%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"17","https://leetcode.com/problems/letter-combinations-of-a-phone-number","Letter Combinations of a Phone Number","Medium","66.1%","37.5%","Strings; Backtracking","Hashing / Sliding Window; Backtracking","Low","Good for coverage after core list is complete."
"2141","https://leetcode.com/problems/maximum-running-time-of-n-computers","Maximum Running Time of N Computers","Hard","56.5%","37.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"647","https://leetcode.com/problems/palindromic-substrings","Palindromic Substrings","Medium","72.8%","37.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Low","Good for coverage after core list is complete."
"2023","https://leetcode.com/problems/number-of-pairs-of-strings-with-concatenation-equal-to-target","Number of Pairs of Strings With Concatenation Equal to Target","Medium","75.4%","37.5%","Strings","Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"3072","https://leetcode.com/problems/distribute-elements-into-two-arrays-ii","Distribute Elements Into Two Arrays II","Hard","30.7%","37.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","37.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","Low","Good for coverage after core list is complete."
"128","https://leetcode.com/problems/longest-consecutive-sequence","Longest Consecutive Sequence","Medium","47.1%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"412","https://leetcode.com/problems/fizz-buzz","Fizz Buzz","Easy","75.5%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
