"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"14","https://leetcode.com/problems/longest-common-prefix","Longest Common Prefix","Easy","47.6%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"279","https://leetcode.com/problems/perfect-squares","Perfect Squares","Medium","56.5%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"92","https://leetcode.com/problems/reverse-linked-list-ii","Reverse Linked List II","Medium","51.5%","87.5%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"438","https://leetcode.com/problems/find-all-anagrams-in-a-string","Find All Anagrams in a String","Medium","53.8%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"528","https://leetcode.com/problems/random-pick-with-weight","Random Pick with Weight","Medium","49.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"257","https://leetcode.com/problems/binary-tree-paths","Binary Tree Paths","Easy","68.7%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"268","https://leetcode.com/problems/missing-number","Missing Number","Easy","72.0%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"535","https://leetcode.com/problems/encode-and-decode-tinyurl","Encode and Decode TinyURL","Medium","86.6%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"2043","https://leetcode.com/problems/simple-bank-system","Simple Bank System","Medium","69.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1321","https://leetcode.com/problems/restaurant-growth","Restaurant Growth","Medium","58.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
