"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","62.5%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"547","https://leetcode.com/problems/number-of-provinces","Number of Provinces","Medium","70.4%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"43","https://leetcode.com/problems/multiply-strings","Multiply Strings","Medium","44.2%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"44","https://leetcode.com/problems/wildcard-matching","Wildcard Matching","Hard","32.0%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1048","https://leetcode.com/problems/longest-string-chain","Longest String Chain","Medium","63.0%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2050","https://leetcode.com/problems/parallel-courses-iii","Parallel Courses III","Hard","66.8%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"212","https://leetcode.com/problems/word-search-ii","Word Search II","Hard","38.5%","75.0%","Strings; Binary Search","Hashing / Sliding Window; Binary Search","High","Must revise; common company/OA pattern."
"1186","https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion","Maximum Subarray Sum with One Deletion","Medium","47.6%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"289","https://leetcode.com/problems/game-of-life","Game of Life","Medium","72.6%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"342","https://leetcode.com/problems/power-of-four","Power of Four","Easy","52.1%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"349","https://leetcode.com/problems/intersection-of-two-arrays","Intersection of Two Arrays","Easy","77.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"528","https://leetcode.com/problems/random-pick-with-weight","Random Pick with Weight","Medium","49.1%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"918","https://leetcode.com/problems/maximum-sum-circular-subarray","Maximum Sum Circular Subarray","Medium","50.2%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1889","https://leetcode.com/problems/minimum-space-wasted-from-packaging","Minimum Space Wasted From Packaging","Hard","33.6%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"2502","https://leetcode.com/problems/design-memory-allocator","Design Memory Allocator","Medium","50.1%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"253","https://leetcode.com/problems/meeting-rooms-ii","Meeting Rooms II","Medium","52.7%","50.0%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"337","https://leetcode.com/problems/house-robber-iii","House Robber III","Medium","55.9%","50.0%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
