"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"133","https://leetcode.com/problems/clone-graph","Clone Graph","Medium","65.3%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"424","https://leetcode.com/problems/longest-repeating-character-replacement","Longest Repeating Character Replacement","Medium","59.7%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"139","https://leetcode.com/problems/word-break","Word Break","Medium","49.5%","100.0%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","High","Must revise; common company/OA pattern."
"75","https://leetcode.com/problems/sort-colors","Sort Colors","Medium","69.6%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"269","https://leetcode.com/problems/alien-dictionary","Alien Dictionary","Hard","37.2%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"600","https://leetcode.com/problems/non-negative-integers-without-consecutive-ones","Non-negative Integers without Consecutive Ones","Hard","42.4%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"772","https://leetcode.com/problems/basic-calculator-iii","Basic Calculator III","Hard","53.3%","100.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"692","https://leetcode.com/problems/top-k-frequent-words","Top K Frequent Words","Medium","60.2%","100.0%","Strings; Heap","Hashing / Sliding Window; Priority Queue","High","Must revise; common company/OA pattern."
"214","https://leetcode.com/problems/shortest-palindrome","Shortest Palindrome","Hard","42.5%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"215","https://leetcode.com/problems/kth-largest-element-in-an-array","Kth Largest Element in an Array","Medium","68.9%","100.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
"380","https://leetcode.com/problems/insert-delete-getrandom-o1","Insert Delete GetRandom O(1)","Medium","55.4%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"442","https://leetcode.com/problems/find-all-duplicates-in-an-array","Find All Duplicates in an Array","Medium","76.9%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"347","https://leetcode.com/problems/top-k-frequent-elements","Top K Frequent Elements","Medium","66.4%","100.0%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"28","https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string","Find the Index of the First Occurrence in a String","Easy","46.7%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"285","https://leetcode.com/problems/inorder-successor-in-bst","Inorder Successor in BST","Medium","51.2%","100.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
