"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","75.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"33","https://leetcode.com/problems/search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","44.9%","50.0%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","87.5%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"987","https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree","Vertical Order Traversal of a Binary Tree","Hard","53.8%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"2029","https://leetcode.com/problems/stone-game-ix","Stone Game IX","Medium","30.3%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2035","https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference","Partition Array Into Two Arrays to Minimize Sum Difference","Hard","23.4%","87.5%","Arrays; Dynamic Programming","Sorting / Prefix / Scan; State Transition","High","Must revise; common company/OA pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"141","https://leetcode.com/problems/linked-list-cycle","Linked List Cycle","Easy","54.3%","50.0%","Linked List","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"1301","https://leetcode.com/problems/number-of-paths-with-max-score","Number of Paths with Max Score","Hard","42.5%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1139","https://leetcode.com/problems/largest-1-bordered-square","Largest 1-Bordered Square","Medium","52.1%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"300","https://leetcode.com/problems/longest-increasing-subsequence","Longest Increasing Subsequence","Medium","59.4%","87.5%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"312","https://leetcode.com/problems/burst-balloons","Burst Balloons","Hard","63.5%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"322","https://leetcode.com/problems/coin-change","Coin Change","Medium","48.4%","50.0%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"1691","https://leetcode.com/problems/maximum-height-by-stacking-cuboids","Maximum Height by Stacking Cuboids","Hard","62.0%","87.5%","Arrays; Stack / Queue","Sorting / Prefix / Scan; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"1464","https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array","Maximum Product of Two Elements in an Array","Easy","83.6%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1519","https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label","Number of Nodes in the Sub-Tree With the Same Label","Medium","55.4%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
