"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2096","https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another","Step-By-Step Directions From a Binary Tree Node to Another","Medium","56.4%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"2131","https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words","Longest Palindrome by Concatenating Two Letter Words","Medium","53.5%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"198","https://leetcode.com/problems/house-robber","House Robber","Medium","53.2%","87.5%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"213","https://leetcode.com/problems/house-robber-ii","House Robber II","Medium","44.9%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"1146","https://leetcode.com/problems/snapshot-array","Snapshot Array","Medium","36.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"742","https://leetcode.com/problems/closest-leaf-in-a-binary-tree","Closest Leaf in a Binary Tree","Medium","47.4%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"751","https://leetcode.com/problems/ip-to-cidr","IP to CIDR","Medium","53.6%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2251","https://leetcode.com/problems/number-of-flowers-in-full-bloom","Number of Flowers in Full Bloom","Hard","57.9%","37.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"348","https://leetcode.com/problems/design-tic-tac-toe","Design Tic-Tac-Toe","Medium","58.7%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"362","https://leetcode.com/problems/design-hit-counter","Design Hit Counter","Medium","69.7%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"981","https://leetcode.com/problems/time-based-key-value-store","Time Based Key-Value Store","Medium","49.9%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2468","https://leetcode.com/problems/split-message-based-on-limit","Split Message Based on Limit","Hard","42.1%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"3043","https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix","Find the Length of the Longest Common Prefix","Medium","62.2%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"1865","https://leetcode.com/problems/finding-pairs-with-a-certain-sum","Finding Pairs With a Certain Sum","Medium","61.6%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"54","https://leetcode.com/problems/spiral-matrix","Spiral Matrix","Medium","56.8%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"845","https://leetcode.com/problems/longest-mountain-in-array","Longest Mountain in Array","Medium","42.1%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"933","https://leetcode.com/problems/number-of-recent-calls","Number of Recent Calls","Easy","78.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"8","https://leetcode.com/problems/string-to-integer-atoi","String to Integer (atoi)","Medium","21.0%","37.5%","Strings","Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"438","https://leetcode.com/problems/find-all-anagrams-in-a-string","Find All Anagrams in a String","Medium","53.8%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1293","https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination","Shortest Path in a Grid with Obstacles Elimination","Hard","46.3%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"980","https://leetcode.com/problems/unique-paths-iii","Unique Paths III","Hard","82.8%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"1091","https://leetcode.com/problems/shortest-path-in-binary-matrix","Shortest Path in Binary Matrix","Medium","51.5%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"567","https://leetcode.com/problems/permutation-in-string","Permutation in String","Medium","48.9%","50.0%","Strings; Backtracking","Hashing / Sliding Window; Sliding Window; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
