"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2069","https://leetcode.com/problems/walking-robot-simulation-ii","Walking Robot Simulation II","Medium","43.2%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1814","https://leetcode.com/problems/count-nice-pairs-in-an-array","Count Nice Pairs in an Array","Medium","48.4%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2768","https://leetcode.com/problems/number-of-black-blocks","Number of Black Blocks","Medium","41.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"139","https://leetcode.com/problems/word-break","Word Break","Medium","49.5%","75.0%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","High","Must revise; common company/OA pattern."
"969","https://leetcode.com/problems/pancake-sorting","Pancake Sorting","Medium","71.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"999","https://leetcode.com/problems/available-captures-for-rook","Available Captures for Rook","Easy","71.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1861","https://leetcode.com/problems/rotating-the-box","Rotating the Box","Medium","82.5%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"699","https://leetcode.com/problems/falling-squares","Falling Squares","Hard","47.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"573","https://leetcode.com/problems/squirrel-simulation","Squirrel Simulation","Medium","57.4%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"300","https://leetcode.com/problems/longest-increasing-subsequence","Longest Increasing Subsequence","Medium","59.4%","100.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
