"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"576","https://leetcode.com/problems/out-of-boundary-paths","Out of Boundary Paths","Medium","48.4%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"488","https://leetcode.com/problems/zuma-game","Zuma Game","Hard","29.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"873","https://leetcode.com/problems/length-of-longest-fibonacci-subsequence","Length of Longest Fibonacci Subsequence","Medium","57.5%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"395","https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters","Longest Substring with At Least K Repeating Characters","Medium","46.3%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"588","https://leetcode.com/problems/design-in-memory-file-system","Design In-Memory File System","Hard","48.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"397","https://leetcode.com/problems/integer-replacement","Integer Replacement","Medium","37.5%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"410","https://leetcode.com/problems/split-array-largest-sum","Split Array Largest Sum","Hard","60.4%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"124","https://leetcode.com/problems/binary-tree-maximum-path-sum","Binary Tree Maximum Path Sum","Hard","42.3%","100.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","High","Must revise; common company/OA pattern."
"413","https://leetcode.com/problems/arithmetic-slices","Arithmetic Slices","Medium","64.8%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"446","https://leetcode.com/problems/arithmetic-slices-ii-subsequence","Arithmetic Slices II - Subsequence","Hard","55.1%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
