"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2892","https://leetcode.com/problems/minimizing-array-after-replacing-pairs-with-their-product","Minimizing Array After Replacing Pairs With Their Product","Medium","40.7%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2904","https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string","Shortest and Lexicographically Smallest Beautiful String","Medium","41.1%","87.5%","Strings; Graphs","Hashing / Sliding Window; BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"238","https://leetcode.com/problems/product-of-array-except-self","Product of Array Except Self","Medium","68.9%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"796","https://leetcode.com/problems/rotate-string","Rotate String","Easy","66.6%","87.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1307","https://leetcode.com/problems/verbal-arithmetic-puzzle","Verbal Arithmetic Puzzle","Hard","34.9%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"54","https://leetcode.com/problems/spiral-matrix","Spiral Matrix","Medium","56.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1768","https://leetcode.com/problems/merge-strings-alternately","Merge Strings Alternately","Easy","82.1%","75.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"14","https://leetcode.com/problems/longest-common-prefix","Longest Common Prefix","Easy","47.6%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"703","https://leetcode.com/problems/kth-largest-element-in-a-stream","Kth Largest Element in a Stream","Easy","61.0%","75.0%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"1953","https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work","Maximum Number of Weeks for Which You Can Work","Medium","42.5%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2696","https://leetcode.com/problems/minimum-string-length-after-removing-substrings","Minimum String Length After Removing Substrings","Easy","77.2%","75.0%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2062","https://leetcode.com/problems/count-vowel-substrings-of-a-string","Count Vowel Substrings of a String","Easy","73.2%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","87.5%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"460","https://leetcode.com/problems/lfu-cache","LFU Cache","Hard","49.2%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"160","https://leetcode.com/problems/intersection-of-two-linked-lists","Intersection of Two Linked Lists","Easy","63.7%","75.0%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"253","https://leetcode.com/problems/meeting-rooms-ii","Meeting Rooms II","Medium","52.7%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"844","https://leetcode.com/problems/backspace-string-compare","Backspace String Compare","Easy","49.9%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2008","https://leetcode.com/problems/maximum-earnings-from-taxi","Maximum Earnings From Taxi","Medium","46.5%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
