"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"502","https://leetcode.com/problems/ipo","IPO","Hard","53.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"503","https://leetcode.com/problems/next-greater-element-ii","Next Greater Element II","Medium","68.4%","75.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"2896","https://leetcode.com/problems/apply-operations-to-make-two-strings-equal","Apply Operations to Make Two Strings Equal","Medium","27.7%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"25","https://leetcode.com/problems/reverse-nodes-in-k-group","Reverse Nodes in k-Group","Hard","66.1%","75.0%","Trees; Linked List","DFS / BFS; Two Pointers","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"1011","https://leetcode.com/problems/capacity-to-ship-packages-within-d-days","Capacity To Ship Packages Within D Days","Medium","73.9%","87.5%","Binary Search","Binary Search","High","Must revise; common company/OA pattern."
"85","https://leetcode.com/problems/maximal-rectangle","Maximal Rectangle","Hard","58.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","87.5%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"250","https://leetcode.com/problems/count-univalue-subtrees","Count Univalue Subtrees","Medium","57.5%","75.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"380","https://leetcode.com/problems/insert-delete-getrandom-o1","Insert Delete GetRandom O(1)","Medium","55.4%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"76","https://leetcode.com/problems/minimum-window-substring","Minimum Window Substring","Hard","47.5%","87.5%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"410","https://leetcode.com/problems/split-array-largest-sum","Split Array Largest Sum","Hard","60.4%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"402","https://leetcode.com/problems/remove-k-digits","Remove K Digits","Medium","36.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"132","https://leetcode.com/problems/palindrome-partitioning-ii","Palindrome Partitioning II","Hard","37.1%","87.5%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","High","Must revise; common company/OA pattern."
"475","https://leetcode.com/problems/heaters","Heaters","Medium","41.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"621","https://leetcode.com/problems/task-scheduler","Task Scheduler","Medium","63.1%","87.5%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"546","https://leetcode.com/problems/remove-boxes","Remove Boxes","Hard","49.4%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
