"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","87.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","50.0%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"122","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii","Best Time to Buy and Sell Stock II","Medium","71.1%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"127","https://leetcode.com/problems/word-ladder","Word Ladder","Hard","45.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"215","https://leetcode.com/problems/kth-largest-element-in-an-array","Kth Largest Element in an Array","Medium","68.9%","62.5%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"332","https://leetcode.com/problems/reconstruct-itinerary","Reconstruct Itinerary","Hard","44.6%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"416","https://leetcode.com/problems/partition-equal-subset-sum","Partition Equal Subset Sum","Medium","49.5%","87.5%","Arrays; Dynamic Programming","Sorting / Prefix / Scan; State Transition","High","Must revise; common company/OA pattern."
"572","https://leetcode.com/problems/subtree-of-another-tree","Subtree of Another Tree","Easy","51.6%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"2544","https://leetcode.com/problems/alternating-digit-sum","Alternating Digit Sum","Easy","69.1%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"727","https://leetcode.com/problems/minimum-window-subsequence","Minimum Window Subsequence","Hard","43.8%","87.5%","Arrays","Sorting / Prefix / Scan; Sliding Window","High","Must revise; common company/OA pattern."
"767","https://leetcode.com/problems/reorganize-string","Reorganize String","Medium","57.1%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"868","https://leetcode.com/problems/binary-gap","Binary Gap","Easy","74.3%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1206","https://leetcode.com/problems/design-skiplist","Design Skiplist","Hard","59.7%","87.5%","Linked List; Design","Two Pointers; Data Structure Design","High","Must revise; common company/OA pattern."
"1381","https://leetcode.com/problems/design-a-stack-with-increment-operation","Design a Stack With Increment Operation","Medium","79.9%","50.0%","Stack / Queue; Design","Monotonic Stack / Simulation; Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"1438","https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit","Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit","Medium","57.7%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1877","https://leetcode.com/problems/minimize-maximum-pair-sum-in-array","Minimize Maximum Pair Sum in Array","Medium","83.3%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1909","https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing","Remove One Element to Make the Array Strictly Increasing","Easy","29.8%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"472","https://leetcode.com/problems/concatenated-words","Concatenated Words","Hard","49.8%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"680","https://leetcode.com/problems/valid-palindrome-ii","Valid Palindrome II","Easy","44.3%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"752","https://leetcode.com/problems/open-the-lock","Open the Lock","Medium","61.3%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"207","https://leetcode.com/problems/course-schedule","Course Schedule","Medium","51.4%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"54","https://leetcode.com/problems/spiral-matrix","Spiral Matrix","Medium","56.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"968","https://leetcode.com/problems/binary-tree-cameras","Binary Tree Cameras","Hard","47.9%","75.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"22","https://leetcode.com/problems/generate-parentheses","Generate Parentheses","Medium","78.7%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"473","https://leetcode.com/problems/matchsticks-to-square","Matchsticks to Square","Medium","41.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"994","https://leetcode.com/problems/rotting-oranges","Rotting Oranges","Medium","58.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1926","https://leetcode.com/problems/nearest-exit-from-entrance-in-maze","Nearest Exit from Entrance in Maze","Medium","48.6%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"981","https://leetcode.com/problems/time-based-key-value-store","Time Based Key-Value Store","Medium","49.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"50","https://leetcode.com/problems/powx-n","Pow(x, n)","Medium","38.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"73","https://leetcode.com/problems/set-matrix-zeroes","Set Matrix Zeroes","Medium","62.9%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"162","https://leetcode.com/problems/find-peak-element","Find Peak Element","Medium","47.0%","50.0%","Binary Search","Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"75","https://leetcode.com/problems/sort-colors","Sort Colors","Medium","69.6%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"581","https://leetcode.com/problems/shortest-unsorted-continuous-subarray","Shortest Unsorted Continuous Subarray","Medium","38.2%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"905","https://leetcode.com/problems/sort-array-by-parity","Sort Array By Parity","Easy","76.5%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"97","https://leetcode.com/problems/interleaving-string","Interleaving String","Medium","44.0%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"459","https://leetcode.com/problems/repeated-substring-pattern","Repeated Substring Pattern","Easy","48.2%","50.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"286","https://leetcode.com/problems/walls-and-gates","Walls and Gates","Medium","64.0%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"692","https://leetcode.com/problems/top-k-frequent-words","Top K Frequent Words","Medium","60.2%","50.0%","Strings; Heap","Hashing / Sliding Window; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"347","https://leetcode.com/problems/top-k-frequent-elements","Top K Frequent Elements","Medium","66.4%","75.0%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"221","https://leetcode.com/problems/maximal-square","Maximal Square","Medium","50.3%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"234","https://leetcode.com/problems/palindrome-linked-list","Palindrome Linked List","Easy","58.0%","50.0%","Strings; Linked List","Hashing / Sliding Window; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"133","https://leetcode.com/problems/clone-graph","Clone Graph","Medium","65.3%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"45","https://leetcode.com/problems/jump-game-ii","Jump Game II","Medium","42.9%","62.5%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"1743","https://leetcode.com/problems/restore-the-array-from-adjacent-pairs","Restore the Array From Adjacent Pairs","Medium","75.0%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"37","https://leetcode.com/problems/sudoku-solver","Sudoku Solver","Hard","65.5%","50.0%","Backtracking","Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"79","https://leetcode.com/problems/word-search","Word Search","Medium","47.4%","50.0%","Strings; Binary Search","Hashing / Sliding Window; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"238","https://leetcode.com/problems/product-of-array-except-self","Product of Array Except Self","Medium","68.9%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
