"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"437","https://leetcode.com/problems/path-sum-iii","Path Sum III","Medium","46.4%","87.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","High","Must revise; common company/OA pattern."
"1094","https://leetcode.com/problems/car-pooling","Car Pooling","Medium","56.4%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"31","https://leetcode.com/problems/next-permutation","Next Permutation","Medium","45.3%","87.5%","Backtracking","Backtracking","High","Must revise; common company/OA pattern."
"1385","https://leetcode.com/problems/find-the-distance-value-between-two-arrays","Find the Distance Value Between Two Arrays","Easy","71.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"424","https://leetcode.com/problems/longest-repeating-character-replacement","Longest Repeating Character Replacement","Medium","59.7%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2659","https://leetcode.com/problems/make-array-empty","Make Array Empty","Hard","27.0%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1905","https://leetcode.com/problems/count-sub-islands","Count Sub Islands","Medium","73.0%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"781","https://leetcode.com/problems/rabbits-in-forest","Rabbits in Forest","Medium","58.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"875","https://leetcode.com/problems/koko-eating-bananas","Koko Eating Bananas","Medium","50.0%","87.5%","Binary Search","Binary Search","High","Must revise; common company/OA pattern."
"33","https://leetcode.com/problems/search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","44.9%","75.0%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","High","Must revise; common company/OA pattern."
"128","https://leetcode.com/problems/longest-consecutive-sequence","Longest Consecutive Sequence","Medium","47.1%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"63","https://leetcode.com/problems/unique-paths-ii","Unique Paths II","Medium","44.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"983","https://leetcode.com/problems/minimum-cost-for-tickets","Minimum Cost For Tickets","Medium","67.4%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"162","https://leetcode.com/problems/find-peak-element","Find Peak Element","Medium","47.0%","87.5%","Binary Search","Binary Search","High","Must revise; common company/OA pattern."
"962","https://leetcode.com/problems/maximum-width-ramp","Maximum Width Ramp","Medium","55.9%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"29","https://leetcode.com/problems/divide-two-integers","Divide Two Integers","Medium","19.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"994","https://leetcode.com/problems/rotting-oranges","Rotting Oranges","Medium","58.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"687","https://leetcode.com/problems/longest-univalue-path","Longest Univalue Path","Medium","43.9%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","87.5%","Arrays","Sorting / Prefix / Scan; Sliding Window","High","Must revise; common company/OA pattern."
"3026","https://leetcode.com/problems/maximum-good-subarray-sum","Maximum Good Subarray Sum","Medium","21.9%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"215","https://leetcode.com/problems/kth-largest-element-in-an-array","Kth Largest Element in an Array","Medium","68.9%","75.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
