"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"4","https://leetcode.com/problems/median-of-two-sorted-arrays","Median of Two Sorted Arrays","Hard","46.6%","75.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","100.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"443","https://leetcode.com/problems/string-compression","String Compression","Medium","60.0%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"64","https://leetcode.com/problems/minimum-path-sum","Minimum Path Sum","Medium","68.2%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"1086","https://leetcode.com/problems/high-five","High Five","Easy","74.2%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"76","https://leetcode.com/problems/minimum-window-substring","Minimum Window Substring","Hard","47.5%","62.5%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"33","https://leetcode.com/problems/search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","44.9%","62.5%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"387","https://leetcode.com/problems/first-unique-character-in-a-string","First Unique Character in a String","Easy","65.5%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"657","https://leetcode.com/problems/robot-return-to-origin","Robot Return to Origin","Easy","78.1%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"166","https://leetcode.com/problems/fraction-to-recurring-decimal","Fraction to Recurring Decimal","Medium","30.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
