"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2861","https://leetcode.com/problems/maximum-number-of-alloys","Maximum Number of Alloys","Medium","41.0%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2514","https://leetcode.com/problems/count-anagrams","Count Anagrams","Hard","37.7%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"566","https://leetcode.com/problems/reshape-the-matrix","Reshape the Matrix","Easy","65.0%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2038","https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color","Remove Colored Pieces if Both Neighbors are the Same Color","Medium","63.1%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1163","https://leetcode.com/problems/last-substring-in-lexicographical-order","Last Substring in Lexicographical Order","Hard","35.0%","87.5%","Strings; Trees; Graphs","Hashing / Sliding Window; DFS / BFS; BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"1130","https://leetcode.com/problems/minimum-cost-tree-from-leaf-values","Minimum Cost Tree From Leaf Values","Medium","67.9%","87.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","High","Must revise; common company/OA pattern."
"3049","https://leetcode.com/problems/earliest-second-to-mark-indices-ii","Earliest Second to Mark Indices II","Hard","22.6%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3048","https://leetcode.com/problems/earliest-second-to-mark-indices-i","Earliest Second to Mark Indices I","Medium","36.9%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3035","https://leetcode.com/problems/maximum-palindromes-after-operations","Maximum Palindromes After Operations","Medium","46.5%","100.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2851","https://leetcode.com/problems/string-transformation","String Transformation","Hard","27.2%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"2444","https://leetcode.com/problems/count-subarrays-with-fixed-bounds","Count Subarrays With Fixed Bounds","Hard","69.2%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"500","https://leetcode.com/problems/keyboard-row","Keyboard Row","Easy","73.9%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2462","https://leetcode.com/problems/total-cost-to-hire-k-workers","Total Cost to Hire K Workers","Medium","43.6%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1328","https://leetcode.com/problems/break-a-palindrome","Break a Palindrome","Medium","51.6%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
