"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","87.5%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"243","https://leetcode.com/problems/shortest-word-distance","Shortest Word Distance","Easy","66.3%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"475","https://leetcode.com/problems/heaters","Heaters","Medium","41.9%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"838","https://leetcode.com/problems/push-dominoes","Push Dominoes","Medium","63.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"210","https://leetcode.com/problems/course-schedule-ii","Course Schedule II","Medium","55.5%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"739","https://leetcode.com/problems/daily-temperatures","Daily Temperatures","Medium","68.7%","87.5%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"314","https://leetcode.com/problems/binary-tree-vertical-order-traversal","Binary Tree Vertical Order Traversal","Medium","57.8%","75.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"1828","https://leetcode.com/problems/queries-on-number-of-points-inside-a-circle","Queries on Number of Points Inside a Circle","Medium","86.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"140","https://leetcode.com/problems/word-break-ii","Word Break II","Hard","55.6%","75.0%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","High","Must revise; common company/OA pattern."
"443","https://leetcode.com/problems/string-compression","String Compression","Medium","60.0%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1610","https://leetcode.com/problems/maximum-number-of-visible-points","Maximum Number of Visible Points","Hard","38.2%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"827","https://leetcode.com/problems/making-a-large-island","Making A Large Island","Hard","56.6%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
