"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1370","https://leetcode.com/problems/increasing-decreasing-string","Increasing Decreasing String","Easy","77.3%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1177","https://leetcode.com/problems/can-make-palindrome-from-substring","Can Make Palindrome from Substring","Medium","41.7%","87.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"1319","https://leetcode.com/problems/number-of-operations-to-make-network-connected","Number of Operations to Make Network Connected","Medium","66.5%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"740","https://leetcode.com/problems/delete-and-earn","Delete and Earn","Medium","57.2%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"677","https://leetcode.com/problems/map-sum-pairs","Map Sum Pairs","Medium","57.2%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1425","https://leetcode.com/problems/constrained-subsequence-sum","Constrained Subsequence Sum","Hard","56.4%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"741","https://leetcode.com/problems/cherry-pickup","Cherry Pickup","Hard","39.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"743","https://leetcode.com/problems/network-delay-time","Network Delay Time","Medium","60.4%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"1326","https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden","Minimum Number of Taps to Open to Water a Garden","Hard","51.0%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1649","https://leetcode.com/problems/create-sorted-array-through-instructions","Create Sorted Array through Instructions","Hard","41.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1665","https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks","Minimum Initial Energy to Finish Tasks","Hard","76.4%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1338","https://leetcode.com/problems/reduce-array-size-to-the-half","Reduce Array Size to The Half","Medium","69.4%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1819","https://leetcode.com/problems/number-of-different-subsequences-gcds","Number of Different Subsequences GCDs","Hard","45.3%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1223","https://leetcode.com/problems/dice-roll-simulation","Dice Roll Simulation","Hard","50.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2497","https://leetcode.com/problems/maximum-star-sum-of-a-graph","Maximum Star Sum of a Graph","Medium","42.4%","100.0%","Arrays; Graphs","Sorting / Prefix / Scan; BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"1192","https://leetcode.com/problems/critical-connections-in-a-network","Critical Connections in a Network","Hard","59.7%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
