"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"283","https://leetcode.com/problems/move-zeroes","Move Zeroes","Easy","63.8%","75.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"849","https://leetcode.com/problems/maximize-distance-to-closest-person","Maximize Distance to Closest Person","Medium","49.8%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"125","https://leetcode.com/problems/valid-palindrome","Valid Palindrome","Easy","53.3%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"228","https://leetcode.com/problems/summary-ranges","Summary Ranges","Easy","54.2%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1493","https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element","Longest Subarray of 1's After Deleting One Element","Medium","71.2%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","75.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"165","https://leetcode.com/problems/compare-version-numbers","Compare Version Numbers","Medium","46.4%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"101","https://leetcode.com/problems/symmetric-tree","Symmetric Tree","Easy","61.2%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"567","https://leetcode.com/problems/permutation-in-string","Permutation in String","Medium","48.9%","62.5%","Strings; Backtracking","Hashing / Sliding Window; Sliding Window; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
