"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"12","https://leetcode.com/problems/integer-to-roman","Integer to Roman","Medium","71.0%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"4","https://leetcode.com/problems/median-of-two-sorted-arrays","Median of Two Sorted Arrays","Hard","46.6%","87.5%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
"423","https://leetcode.com/problems/reconstruct-original-digits-from-english","Reconstruct Original Digits from English","Medium","52.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2","https://leetcode.com/problems/add-two-numbers","Add Two Numbers","Medium","48.5%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","50.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"133","https://leetcode.com/problems/clone-graph","Clone Graph","Medium","65.3%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"392","https://leetcode.com/problems/is-subsequence","Is Subsequence","Easy","49.0%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"138","https://leetcode.com/problems/copy-list-with-random-pointer","Copy List with Random Pointer","Medium","62.9%","50.0%","Linked List","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"11","https://leetcode.com/problems/container-with-most-water","Container With Most Water","Medium","60.0%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"269","https://leetcode.com/problems/alien-dictionary","Alien Dictionary","Hard","37.2%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"21","https://leetcode.com/problems/merge-two-sorted-lists","Merge Two Sorted Lists","Easy","68.3%","50.0%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"283","https://leetcode.com/problems/move-zeroes","Move Zeroes","Easy","63.8%","50.0%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"543","https://leetcode.com/problems/diameter-of-binary-tree","Diameter of Binary Tree","Easy","65.5%","50.0%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"783","https://leetcode.com/problems/minimum-distance-between-bst-nodes","Minimum Distance Between BST Nodes","Easy","61.3%","50.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","50.0%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"705","https://leetcode.com/problems/design-hashset","Design HashSet","Easy","68.0%","50.0%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"50","https://leetcode.com/problems/powx-n","Pow(x, n)","Medium","38.7%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"181","https://leetcode.com/problems/employees-earning-more-than-their-managers","Employees Earning More Than Their Managers","Easy","73.2%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"804","https://leetcode.com/problems/unique-morse-code-words","Unique Morse Code Words","Easy","83.6%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"811","https://leetcode.com/problems/subdomain-visit-count","Subdomain Visit Count","Medium","77.2%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"929","https://leetcode.com/problems/unique-email-addresses","Unique Email Addresses","Easy","67.9%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"199","https://leetcode.com/problems/binary-tree-right-side-view","Binary Tree Right Side View","Medium","70.2%","50.0%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"336","https://leetcode.com/problems/palindrome-pairs","Palindrome Pairs","Hard","37.2%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"342","https://leetcode.com/problems/power-of-four","Power of Four","Easy","52.1%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"349","https://leetcode.com/problems/intersection-of-two-arrays","Intersection of Two Arrays","Easy","77.8%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"953","https://leetcode.com/problems/verifying-an-alien-dictionary","Verifying an Alien Dictionary","Easy","56.0%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"98","https://leetcode.com/problems/validate-binary-search-tree","Validate Binary Search Tree","Medium","35.8%","50.0%","Strings; Trees; Binary Search","Hashing / Sliding Window; DFS / BFS; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"1048","https://leetcode.com/problems/longest-string-chain","Longest String Chain","Medium","63.0%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"236","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree","Lowest Common Ancestor of a Binary Tree","Medium","69.3%","50.0%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
