"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"14","https://leetcode.com/problems/longest-common-prefix","Longest Common Prefix","Easy","47.6%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1032","https://leetcode.com/problems/stream-of-characters","Stream of Characters","Hard","52.3%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"2235","https://leetcode.com/problems/add-two-integers","Add Two Integers","Easy","88.0%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2809","https://leetcode.com/problems/minimum-time-to-make-array-sum-at-most-x","Minimum Time to Make Array Sum At Most x","Hard","27.5%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"874","https://leetcode.com/problems/walking-robot-simulation","Walking Robot Simulation","Medium","64.6%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2085","https://leetcode.com/problems/count-common-words-with-one-occurrence","Count Common Words With One Occurrence","Easy","73.4%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"415","https://leetcode.com/problems/add-strings","Add Strings","Easy","52.2%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"2296","https://leetcode.com/problems/design-a-text-editor","Design a Text Editor","Hard","50.7%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"495","https://leetcode.com/problems/teemo-attacking","Teemo Attacking","Easy","57.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","62.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"1801","https://leetcode.com/problems/number-of-orders-in-the-backlog","Number of Orders in the Backlog","Medium","54.0%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2","https://leetcode.com/problems/add-two-numbers","Add Two Numbers","Medium","48.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
