"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1268","https://leetcode.com/problems/search-suggestions-system","Search Suggestions System","Medium","65.2%","100.0%","Binary Search","Binary Search","High","Must revise; common company/OA pattern."
"713","https://leetcode.com/problems/subarray-product-less-than-k","Subarray Product Less Than K","Medium","54.3%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"300","https://leetcode.com/problems/longest-increasing-subsequence","Longest Increasing Subsequence","Medium","59.4%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"403","https://leetcode.com/problems/frog-jump","Frog Jump","Hard","47.3%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"1605","https://leetcode.com/problems/find-valid-matrix-given-row-and-column-sums","Find Valid Matrix Given Row and Column Sums","Medium","82.6%","62.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"64","https://leetcode.com/problems/minimum-path-sum","Minimum Path Sum","Medium","68.2%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"3649","https://leetcode.com/problems/number-of-perfect-pairs","Number of Perfect Pairs","Medium","34.1%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2771","https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays","Longest Non-decreasing Subarray From Two Arrays","Medium","31.2%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"224","https://leetcode.com/problems/basic-calculator","Basic Calculator","Hard","46.9%","75.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"2466","https://leetcode.com/problems/count-ways-to-build-good-strings","Count Ways To Build Good Strings","Medium","58.9%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2939","https://leetcode.com/problems/maximum-xor-product","Maximum Xor Product","Medium","29.9%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3035","https://leetcode.com/problems/maximum-palindromes-after-operations","Maximum Palindromes After Operations","Medium","46.5%","75.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1669","https://leetcode.com/problems/merge-in-between-linked-lists","Merge In Between Linked Lists","Medium","83.0%","75.0%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"2918","https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros","Minimum Equal Sum of Two Arrays After Replacing Zeros","Medium","50.2%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
