"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"10","https://leetcode.com/problems/regular-expression-matching","Regular Expression Matching","Hard","31.0%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"12","https://leetcode.com/problems/integer-to-roman","Integer to Roman","Medium","71.0%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","100.0%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","100.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"43","https://leetcode.com/problems/multiply-strings","Multiply Strings","Medium","44.2%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"44","https://leetcode.com/problems/wildcard-matching","Wildcard Matching","Hard","32.0%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"60","https://leetcode.com/problems/permutation-sequence","Permutation Sequence","Hard","53.1%","100.0%","Backtracking","Backtracking","High","Must revise; common company/OA pattern."
"118","https://leetcode.com/problems/pascals-triangle","Pascal's Triangle","Easy","78.9%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"140","https://leetcode.com/problems/word-break-ii","Word Break II","Hard","55.6%","100.0%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"2073","https://leetcode.com/problems/time-needed-to-buy-tickets","Time Needed to Buy Tickets","Easy","72.6%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"149","https://leetcode.com/problems/max-points-on-a-line","Max Points on a Line","Hard","30.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"161","https://leetcode.com/problems/one-edit-distance","One Edit Distance","Medium","34.6%","100.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"202","https://leetcode.com/problems/happy-number","Happy Number","Easy","59.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"206","https://leetcode.com/problems/reverse-linked-list","Reverse Linked List","Easy","80.6%","100.0%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
