"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"138","https://leetcode.com/problems/copy-list-with-random-pointer","Copy List with Random Pointer","Medium","62.9%","87.5%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"208","https://leetcode.com/problems/implement-trie-prefix-tree","Implement Trie (Prefix Tree)","Medium","69.5%","100.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"347","https://leetcode.com/problems/top-k-frequent-elements","Top K Frequent Elements","Medium","66.4%","75.0%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"1797","https://leetcode.com/problems/design-authentication-manager","Design Authentication Manager","Medium","58.6%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"171","https://leetcode.com/problems/excel-sheet-column-number","Excel Sheet Column Number","Easy","67.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"295","https://leetcode.com/problems/find-median-from-data-stream","Find Median from Data Stream","Hard","54.5%","87.5%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"285","https://leetcode.com/problems/inorder-successor-in-bst","Inorder Successor in BST","Medium","51.2%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"934","https://leetcode.com/problems/shortest-bridge","Shortest Bridge","Medium","59.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"380","https://leetcode.com/problems/insert-delete-getrandom-o1","Insert Delete GetRandom O(1)","Medium","55.4%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"211","https://leetcode.com/problems/design-add-and-search-words-data-structure","Design Add and Search Words Data Structure","Medium","48.5%","75.0%","Strings; Binary Search; Design","Hashing / Sliding Window; Binary Search; Data Structure Design","High","Must revise; common company/OA pattern."
"1448","https://leetcode.com/problems/count-good-nodes-in-binary-tree","Count Good Nodes in Binary Tree","Medium","73.9%","75.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"726","https://leetcode.com/problems/number-of-atoms","Number of Atoms","Hard","65.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"337","https://leetcode.com/problems/house-robber-iii","House Robber III","Medium","55.9%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"213","https://leetcode.com/problems/house-robber-ii","House Robber II","Medium","44.9%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"12","https://leetcode.com/problems/integer-to-roman","Integer to Roman","Medium","71.0%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1268","https://leetcode.com/problems/search-suggestions-system","Search Suggestions System","Medium","65.2%","87.5%","Binary Search","Binary Search","High","Must revise; common company/OA pattern."
"253","https://leetcode.com/problems/meeting-rooms-ii","Meeting Rooms II","Medium","52.7%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","87.5%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"1368","https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid","Minimum Cost to Make at Least One Valid Path in a Grid","Hard","71.0%","75.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","75.0%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","High","Must revise; common company/OA pattern."
"127","https://leetcode.com/problems/word-ladder","Word Ladder","Hard","45.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"3588","https://leetcode.com/problems/find-maximum-area-of-a-triangle","Find Maximum Area of a Triangle","Medium","29.5%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"424","https://leetcode.com/problems/longest-repeating-character-replacement","Longest Repeating Character Replacement","Medium","59.7%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"359","https://leetcode.com/problems/logger-rate-limiter","Logger Rate Limiter","Easy","76.8%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"21","https://leetcode.com/problems/merge-two-sorted-lists","Merge Two Sorted Lists","Easy","68.3%","75.0%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"621","https://leetcode.com/problems/task-scheduler","Task Scheduler","Medium","63.1%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
