"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","75.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"2","https://leetcode.com/problems/add-two-numbers","Add Two Numbers","Medium","48.5%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"70","https://leetcode.com/problems/climbing-stairs","Climbing Stairs","Easy","54.1%","62.5%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"198","https://leetcode.com/problems/house-robber","House Robber","Medium","53.2%","62.5%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","62.5%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"394","https://leetcode.com/problems/decode-string","Decode String","Medium","62.6%","62.5%","Strings; Dynamic Programming; Stack / Queue","Hashing / Sliding Window; State Transition; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"11","https://leetcode.com/problems/container-with-most-water","Container With Most Water","Medium","60.0%","62.5%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"269","https://leetcode.com/problems/alien-dictionary","Alien Dictionary","Hard","37.2%","62.5%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","62.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"724","https://leetcode.com/problems/find-pivot-index","Find Pivot Index","Easy","62.7%","62.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"153","https://leetcode.com/problems/find-minimum-in-rotated-sorted-array","Find Minimum in Rotated Sorted Array","Medium","54.7%","62.5%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","High","Must revise; common company/OA pattern."
"98","https://leetcode.com/problems/validate-binary-search-tree","Validate Binary Search Tree","Medium","35.8%","75.0%","Strings; Trees; Binary Search","Hashing / Sliding Window; DFS / BFS; Binary Search","High","Must revise; common company/OA pattern."
"168","https://leetcode.com/problems/excel-sheet-column-title","Excel Sheet Column Title","Easy","46.5%","62.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"41","https://leetcode.com/problems/first-missing-positive","First Missing Positive","Hard","42.9%","62.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","87.5%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"237","https://leetcode.com/problems/delete-node-in-a-linked-list","Delete Node in a Linked List","Medium","83.9%","62.5%","Trees; Linked List","DFS / BFS; Two Pointers","High","Must revise; common company/OA pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","62.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"124","https://leetcode.com/problems/binary-tree-maximum-path-sum","Binary Tree Maximum Path Sum","Hard","42.3%","75.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","High","Must revise; common company/OA pattern."
"863","https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree","All Nodes Distance K in Binary Tree","Medium","67.7%","62.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"62","https://leetcode.com/problems/unique-paths","Unique Paths","Medium","66.8%","62.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"127","https://leetcode.com/problems/word-ladder","Word Ladder","Hard","45.6%","62.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
