"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"751","https://leetcode.com/problems/ip-to-cidr","IP to CIDR","Medium","53.6%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"362","https://leetcode.com/problems/design-hit-counter","Design Hit Counter","Medium","69.7%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"348","https://leetcode.com/problems/design-tic-tac-toe","Design Tic-Tac-Toe","Medium","58.7%","87.5%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"2096","https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another","Step-By-Step Directions From a Binary Tree Node to Another","Medium","56.4%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"438","https://leetcode.com/problems/find-all-anagrams-in-a-string","Find All Anagrams in a String","Medium","53.8%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"567","https://leetcode.com/problems/permutation-in-string","Permutation in String","Medium","48.9%","62.5%","Strings; Backtracking","Hashing / Sliding Window; Sliding Window; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"900","https://leetcode.com/problems/rle-iterator","RLE Iterator","Medium","59.3%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"981","https://leetcode.com/problems/time-based-key-value-store","Time Based Key-Value Store","Medium","49.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1293","https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination","Shortest Path in a Grid with Obstacles Elimination","Hard","46.3%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"994","https://leetcode.com/problems/rotting-oranges","Rotting Oranges","Medium","58.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"198","https://leetcode.com/problems/house-robber","House Robber","Medium","53.2%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"1197","https://leetcode.com/problems/minimum-knight-moves","Minimum Knight Moves","Medium","42.0%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"933","https://leetcode.com/problems/number-of-recent-calls","Number of Recent Calls","Easy","78.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
