"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"559","https://leetcode.com/problems/maximum-depth-of-n-ary-tree","Maximum Depth of N-ary Tree","Easy","73.6%","87.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","High","Must revise; common company/OA pattern."
"408","https://leetcode.com/problems/valid-word-abbreviation","Valid Word Abbreviation","Easy","37.0%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"568","https://leetcode.com/problems/maximum-vacation-days","Maximum Vacation Days","Hard","46.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"322","https://leetcode.com/problems/coin-change","Coin Change","Medium","48.4%","100.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"622","https://leetcode.com/problems/design-circular-queue","Design Circular Queue","Medium","54.7%","87.5%","Stack / Queue; Design","Monotonic Stack / Simulation; Data Structure Design","High","Must revise; common company/OA pattern."
"480","https://leetcode.com/problems/sliding-window-median","Sliding Window Median","Hard","39.0%","62.5%","Heap","Priority Queue; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"124","https://leetcode.com/problems/binary-tree-maximum-path-sum","Binary Tree Maximum Path Sum","Hard","42.3%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"1232","https://leetcode.com/problems/check-if-it-is-a-straight-line","Check If It Is a Straight Line","Easy","40.1%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"819","https://leetcode.com/problems/most-common-word","Most Common Word","Easy","45.1%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1452","https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list","People Whose List of Favorite Companies Is Not a Subset of Another List","Medium","60.6%","75.0%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"211","https://leetcode.com/problems/design-add-and-search-words-data-structure","Design Add and Search Words Data Structure","Medium","48.5%","87.5%","Strings; Binary Search; Design","Hashing / Sliding Window; Binary Search; Data Structure Design","High","Must revise; common company/OA pattern."
"1229","https://leetcode.com/problems/meeting-scheduler","Meeting Scheduler","Medium","55.2%","87.5%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"213","https://leetcode.com/problems/house-robber-ii","House Robber II","Medium","44.9%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"198","https://leetcode.com/problems/house-robber","House Robber","Medium","53.2%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"112","https://leetcode.com/problems/path-sum","Path Sum","Easy","54.9%","50.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
