"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"202","https://leetcode.com/problems/happy-number","Happy Number","Easy","59.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2007","https://leetcode.com/problems/find-original-array-from-doubled-array","Find Original Array From Doubled Array","Medium","40.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"843","https://leetcode.com/problems/guess-the-word","Guess the Word","Hard","36.7%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1048","https://leetcode.com/problems/longest-string-chain","Longest String Chain","Medium","63.0%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"963","https://leetcode.com/problems/minimum-area-rectangle-ii","Minimum Area Rectangle II","Medium","55.9%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2115","https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies","Find All Possible Recipes from Given Supplies","Medium","56.9%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1197","https://leetcode.com/problems/minimum-knight-moves","Minimum Knight Moves","Medium","42.0%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"55","https://leetcode.com/problems/jump-game","Jump Game","Medium","40.9%","100.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"1024","https://leetcode.com/problems/video-stitching","Video Stitching","Medium","52.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"215","https://leetcode.com/problems/kth-largest-element-in-an-array","Kth Largest Element in an Array","Medium","68.9%","75.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
"939","https://leetcode.com/problems/minimum-area-rectangle","Minimum Area Rectangle","Medium","55.4%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"359","https://leetcode.com/problems/logger-rate-limiter","Logger Rate Limiter","Easy","76.8%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"354","https://leetcode.com/problems/russian-doll-envelopes","Russian Doll Envelopes","Hard","37.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
