"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"13","https://leetcode.com/problems/roman-to-integer","Roman to Integer","Easy","66.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"76","https://leetcode.com/problems/minimum-window-substring","Minimum Window Substring","Hard","47.5%","87.5%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"735","https://leetcode.com/problems/asteroid-collision","Asteroid Collision","Medium","47.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"845","https://leetcode.com/problems/longest-mountain-in-array","Longest Mountain in Array","Medium","42.1%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"697","https://leetcode.com/problems/degree-of-an-array","Degree of an Array","Easy","58.4%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1347","https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram","Minimum Number of Steps to Make Two Strings Anagram","Medium","82.5%","100.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"380","https://leetcode.com/problems/insert-delete-getrandom-o1","Insert Delete GetRandom O(1)","Medium","55.4%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","75.0%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","High","Must revise; common company/OA pattern."
"2472","https://leetcode.com/problems/maximum-number-of-non-overlapping-palindrome-substrings","Maximum Number of Non-overlapping Palindrome Substrings","Hard","44.7%","87.5%","Arrays; Strings; Trees; Greedy","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS; Greedy","High","Must revise; common company/OA pattern."
"347","https://leetcode.com/problems/top-k-frequent-elements","Top K Frequent Elements","Medium","66.4%","87.5%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"1229","https://leetcode.com/problems/meeting-scheduler","Meeting Scheduler","Medium","55.2%","62.5%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"2861","https://leetcode.com/problems/maximum-number-of-alloys","Maximum Number of Alloys","Medium","41.0%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"127","https://leetcode.com/problems/word-ladder","Word Ladder","Hard","45.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
