"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"206","https://leetcode.com/problems/reverse-linked-list","Reverse Linked List","Easy","80.6%","100.0%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1163","https://leetcode.com/problems/last-substring-in-lexicographical-order","Last Substring in Lexicographical Order","Hard","35.0%","100.0%","Strings; Trees; Graphs","Hashing / Sliding Window; DFS / BFS; BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"9","https://leetcode.com/problems/palindrome-number","Palindrome Number","Easy","60.6%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"852","https://leetcode.com/problems/peak-index-in-a-mountain-array","Peak Index in a Mountain Array","Medium","66.8%","100.0%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","High","Must revise; common company/OA pattern."
"25","https://leetcode.com/problems/reverse-nodes-in-k-group","Reverse Nodes in k-Group","Hard","66.1%","100.0%","Trees; Linked List","DFS / BFS; Two Pointers","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"62","https://leetcode.com/problems/unique-paths","Unique Paths","Medium","66.8%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
