"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","100.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"34","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","Find First and Last Position of Element in Sorted Array","Medium","48.9%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"71","https://leetcode.com/problems/simplify-path","Simplify Path","Medium","50.6%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"392","https://leetcode.com/problems/is-subsequence","Is Subsequence","Easy","49.0%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"155","https://leetcode.com/problems/min-stack","Min Stack","Medium","58.2%","87.5%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"419","https://leetcode.com/problems/battleships-in-a-board","Battleships in a Board","Medium","77.5%","75.0%","Binary Search","Binary Search","High","Must revise; common company/OA pattern."
"448","https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array","Find All Numbers Disappeared in an Array","Easy","64.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2694","https://leetcode.com/problems/event-emitter","Event Emitter","Medium","75.1%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"33","https://leetcode.com/problems/search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","44.9%","87.5%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","High","Must revise; common company/OA pattern."
"394","https://leetcode.com/problems/decode-string","Decode String","Medium","62.6%","87.5%","Strings; Dynamic Programming; Stack / Queue","Hashing / Sliding Window; State Transition; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"2605","https://leetcode.com/problems/form-smallest-number-from-two-digit-arrays","Form Smallest Number From Two Digit Arrays","Easy","55.2%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1984","https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores","Minimum Difference Between Highest and Lowest of K Scores","Easy","66.3%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"125","https://leetcode.com/problems/valid-palindrome","Valid Palindrome","Easy","53.3%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2609","https://leetcode.com/problems/find-the-longest-balanced-substring-of-a-binary-string","Find the Longest Balanced Substring of a Binary String","Easy","46.5%","87.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"19","https://leetcode.com/problems/remove-nth-node-from-end-of-list","Remove Nth Node From End of List","Medium","51.6%","87.5%","Trees; Linked List","DFS / BFS; Two Pointers","High","Must revise; common company/OA pattern."
